case_number,year,application_start_date,final_date,gross_site_area_acres,council_district,is_protested,delta_max_height_ft,delta_max_far,delta_max_bldg_cov_pct,delta_min_lot_sqft,delta_max_height_ft_is_missing,delta_max_far_is_missing,delta_max_bldg_cov_pct_is_missing,delta_min_lot_sqft_is_missing
C14-2014-0031.SH,2014.0,2014-02-25,2017-01-04 13:10:43,8.948,10.0,,5.0,0.0999999999999999,5.0,2250.0,0,0,0,0
C14-2014-0036,2014.0,2014-02-27,,2.275,7.0,1.0,25.0,0.6,20.0,0.0,0,0,0,0
C14-2014-0047,2014.0,2014-03-31,,23.49,10.0,1.0,25.0,0.65,20.0,0.0,0,0,0,0
C14-2014-0070,2014.0,2014-05-05,2014-09-15 09:52:57,1.0,3.0,1.0,0.0,0.0999999999999999,15.0,0.0,0,0,0,0
C14-2014-0120,2014.0,,,0.0,,,,,,,1,1,1,1
C14-2014-0123,2014.0,2014-07-23,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2014-0127,2014.0,2014-07-30,,0.0,,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2014-0159,2014.0,2014-09-19,,0.0,3.0,1.0,,,,,1,1,1,1
C14-2014-0178,2014.0,2014-10-24,2015-05-08 16:54:19,4.283,10.0,1.0,5.0,0.35,10.0,0.0,0,0,0,0
C14-2014-0193,2014.0,2014-12-01,,34.2,7.0,1.0,-5.0,-0.2999999999999999,-10.0,0.0,0,0,0,0
C14-2014-0194,2014.0,2014-12-04,2016-01-04 16:50:44,0.0,3.0,1.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2015-0001,2015.0,2015-02-20,,7.02,1.0,1.0,5.0,0.1999999999999999,10.0,2250.0,0,0,0,0
C14-2015-0003,2015.0,2015-01-06,2016-03-07 15:01:37,0.0,2.0,1.0,0.0,-1.0,-20.0,0.0,0,0,0,0
C14-2015-0019,2015.0,2015-02-18,2015-09-10 10:34:49,2.93,,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2015-0025,2015.0,2015-02-27,,0.0,7.0,1.0,5.0,0.35,15.0,2250.0,0,0,0,0
C14-2015-0043,2015.0,2015-04-03,,0.0,3.0,1.0,0.0,1.0,20.0,0.0,0,0,0,0
C14-2015-0047,2015.0,2015-04-17,,3.561,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2015-0050,2015.0,2015-04-23,,0.0,4.0,0.0,5.0,0.0999999999999999,10.0,0.0,0,0,0,0
C14-2015-0074,2015.0,,,0.0,,,,,,,1,1,1,1
C14-2015-0086,2015.0,2015-07-01,,10.369,1.0,1.0,20.0,0.5,25.0,0.0,0,0,0,0
C14-2015-0093,2015.0,2015-07-13,,0.16,9.0,1.0,60.0,4.0,40.0,-5750.0,0,0,0,0
C14-2015-0094,2015.0,2015-07-13,,0.124,9.0,1.0,60.0,4.0,40.0,-5750.0,0,0,0,0
C14-2015-0104,2015.0,2015-07-29,2016-12-16 12:44:58,23.091,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2015-0105,2015.0,2015-07-30,,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2015-0106,2015.0,2015-07-30,,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2015-0119,2015.0,2015-08-25,2017-01-26 17:12:58,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2015-0160,2015.0,2015-12-07,,45.35,10.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2016-0023.SH,2016.0,2016-02-29,2017-03-01 16:43:05,0.0,7.0,,0.0,0.0,0.0,2250.0,0,0,0,0
C14-2016-0025,2016.0,2016-03-03,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2016-0039,2016.0,2016-04-06,2017-03-23 15:34:47,0.0,5.0,0.0,0.0,-1.0,-35.0,2250.0,0,0,0,0
C14-2016-0063.SH,2016.0,2016-06-02,,0.0,3.0,,0.0,0.0,0.0,0.0,0,0,0,0
C14-2016-0064,2016.0,2016-06-15,,0.0,2.0,1.0,5.0,0.15,10.0,0.0,0,0,0,0
C14-2016-0077,2016.0,2016-07-18,,0.0,9.0,1.0,-25.0,-0.6,-35.0,0.0,0,0,0,0
C14-2016-0079,2016.0,2016-07-25,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2016-0096,2016.0,2016-09-06,,0.0,10.0,1.0,20.0,0.3,10.0,0.0,0,0,0,0
C14-2016-0125,2016.0,2016-11-14,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2017-0052,2017.0,2017-04-18,,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2017-0074,2017.0,2017-06-19,,0.0,9.0,1.0,60.0,4.0,40.0,-5750.0,0,0,0,0
C14-2017-0092,2017.0,2017-07-21,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2017-0094,2017.0,2017-07-26,,0.0,3.0,0.0,25.0,0.6,35.0,0.0,0,0,0,0
C14-2017-0098,2017.0,2017-07-31,,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
C14-2017-0123,2017.0,2017-09-26,2018-05-15 16:13:41,0.0,5.0,1.0,5.0,0.35,10.0,0.0,0,0,0,0
C14-2018-0002,2018.0,2018-01-05,,11.92,1.0,1.0,25.0,1.65,55.0,0.0,0,0,0,0
C14-2018-0077,2018.0,2018-07-05,2019-02-08 11:07:28,0.0,1.0,1.0,0.0,0.05,0.0,0.0,0,0,0,0
C14-2018-0093,2018.0,2018-08-14,2019-04-02 11:07:03,0.0,3.0,1.0,0.0,0.0999999999999999,15.0,0.0,0,0,0,0
C14-2018-0096,2018.0,2018-08-17,,0.0,3.0,1.0,0.0,0.0999999999999999,15.0,0.0,0,0,0,0
C14-2018-0100.SH,2018.0,2018-08-22,2019-04-12 10:26:46,0.0,1.0,,25.0,0.6,20.0,2250.0,0,0,0,0
C14-2018-0121,2018.0,,,0.0,,,,,,,1,1,1,1
C14-2018-0124,2018.0,2018-10-09,,0.0,,1.0,0.0,0.05,20.0,-33560.0,0,0,0,0
C14-2018-0140,2018.0,2018-11-07,2019-06-18 09:27:23,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0
