case_number,n_parcels,agg_appraised_value_median,agg_appraised_value_total,agg_total_market_value_median,agg_total_market_value_total,agg_land_market_value_median,agg_land_market_value_total,agg_improvement_market_value_median,agg_improvement_market_value_total,agg_year_built_median,agg_year_built_total,agg_land_acres_median,agg_land_acres_total,agg_source_priority,agg_improvement_sq_ft_median,agg_improvement_sq_ft_total
C14-05-0009,1,1016037.0,1016037.0,0.0,0.0,1664235.0,1664235.0,2980931.0,2980931.0,2017.0,,67735.8,67735.8,subject,,
C14-05-0010,1,266483.0,266483.0,0.0,0.0,1919636.0,1919636.0,491809.0,491809.0,2005.0,,0.0,0.0,subject,,
C14-05-0012,1,761250.0,761250.0,0.0,0.0,183425.0,183425.0,1031000.0,1031000.0,1930.0,,0.0,0.0,subject,,
C14-05-0013,1,388125.0,388125.0,0.0,0.0,1584431.0,1584431.0,523371.0,523371.0,1915.0,,2587.5,2587.5,subject,,
C14-05-0014,1,0.0,0.0,45516.0,45516.0,100073.0,100073.0,500.0,500.0,,,455163.0,455163.0,subject,,
C14-05-0016,1,1630886.0,1630886.0,0.0,0.0,2036904.0,2036904.0,1801397.0,1801397.0,1964.0,,250905.6,250905.6,subject,,
C14-05-0017,1,201171.0,201171.0,0.0,0.0,1597558.0,1597558.0,445941.0,445941.0,1970.0,,25146.4,25146.4,subject,,
C14-05-0018,1,421758.0,421758.0,0.0,0.0,1373449.0,1373449.0,1446941.0,1446941.0,2007.0,,0.0,0.0,subject,,
C14-05-0020,1,0.0,0.0,2034463.0,2034463.0,1648211.0,1648211.0,2015052.0,2015052.0,,,388250.28,388250.28,subject,,
C14-05-0021,1,421890.0,421890.0,0.0,0.0,1271209.0,1271209.0,696852.0,696852.0,2006.0,,12054.0,12054.0,subject,,
C14-05-0025,1,2197125.0,2197125.0,0.0,0.0,2031700.0,2031700.0,1525000.0,1525000.0,1928.0,,8788.5,8788.5,subject,,
C14-05-0026,1,1036728.0,1036728.0,0.0,0.0,529400.0,529400.0,2918390.0,2918390.0,1976.0,,103672.8,103672.8,subject,,
C14-05-0030,1,11147.0,11147.0,0.0,0.0,519739.0,519739.0,11147.0,11147.0,,,46444.0,46444.0,subject,,
C14-05-0032,1,123655.0,123655.0,0.0,0.0,1521210.0,1521210.0,544982.0,544982.0,2002.0,,0.0,0.0,subject,,
C14-05-0033,1,2150000.0,2150000.0,0.0,0.0,1868986.0,1868986.0,2100000.0,2100000.0,,,18003.35,18003.35,subject,,
C14-05-0035,1,288270.0,288270.0,0.0,0.0,1839634.0,1839634.0,508004.0,508004.0,1962.0,,19218.0,19218.0,subject,,
C14-05-0036,1,0.0,0.0,888912.0,888912.0,339008.0,339008.0,888912.0,888912.0,,,55.557,55.557,subject,,
C14-05-0037.SH,1,0.0,0.0,10693975.0,10693975.0,180087.0,180087.0,9384255.0,9384255.0,,,110206.0,110206.0,subject,,
C14-05-0039,1,14876359.0,14876359.0,0.0,0.0,565578.0,565578.0,43519756.0,43519756.0,2010.0,,80142.0,80142.0,subject,,
C14-05-0040,1,14876359.0,14876359.0,0.0,0.0,565578.0,565578.0,43519756.0,43519756.0,2010.0,,80142.0,80142.0,subject,,
C14-05-0042,1,251420.0,251420.0,0.0,0.0,1709664.0,1709664.0,525000.0,525000.0,1950.0,,25142.0,25142.0,subject,,
