case_number,n_parcels,agg_appraised_value_median,agg_appraised_value_total,agg_total_market_value_median,agg_total_market_value_total,agg_land_market_value_median,agg_land_market_value_total,agg_improvement_market_value_median,agg_improvement_market_value_total,agg_year_built_median,agg_year_built_total,agg_land_acres_median,agg_land_acres_total,agg_source_priority,agg_improvement_sq_ft_median,agg_improvement_sq_ft_total
C14-2008-0249,1,176418.0,176418,0.0,0,1902757.0,1902757,365000.0,365000,1983.0,,8712.0,8712.0,subject,,
C14-2008-0250,1,7295776.0,7295776,0.0,0,1347869.0,1347869,8173844.0,8173844,2008.0,,45598.6,45598.6,subject,,
C14-2008-0251,1,44805163.0,44805163,0.0,0,1520174.0,1520174,48327901.0,48327901,1979.0,,527119.56,527119.56,subject,,
C14-2009-0003,1,0.0,0,11994671.0,11994671,227662.0,227662,8544666.0,8544666,,,436484.27,436484.27,subject,,
C14-2009-0005,1,137504.0,137504,0.0,0,1270604.0,1270604,391813.0,391813,1972.0,,0.0,0.0,subject,,
C14-2009-0009,1,2936162.0,2936162,0.0,0,1694862.0,1694862,4460800.0,4460800,1991.0,,172715.4,172715.4,subject,,
C14-2009-0010,1,0.0,0,742.0,742,100073.0,100073,600.0,600,,,0.0,0.0,subject,,
C14-2009-0013,1,11147.0,11147,0.0,0,519739.0,519739,11147.0,11147,,,46444.0,46444.0,subject,,
C14-2009-0014,1,10030126.0,10030126,0.0,0,1650849.0,1650849,33317000.0,33317000,2012.0,,1003012.56,1003012.56,subject,,
C14-2009-0018,1,0.0,0,19385905.0,19385905,100073.0,100073,19385905.0,19385905,,,537674.0,537674.0,subject,,
C14-2009-0021,1,454359.0,454359,0.0,0,1943429.0,1943429,917748.0,917748,1947.0,,0.0,0.0,subject,,
C14-2009-0027,1,1349880.0,1349880,0.0,0,1653198.0,1653198,1579822.0,1579822,1977.0,,89992.0,89992.0,subject,,
C14-2009-0028,12,300000.0,3365821,0.0,0,1592934.0,14367493,412554.5,5533269,1958.0,,0.0,5027.38,subject,,
C14-2009-0029,1,0.0,0,13047495.0,13047495,100073.0,100073,12990152.0,12990152,,,31311.0,31311.0,subject,,
C14-2009-0030,1,459000.0,459000,0.0,0,1585106.0,1585106,933714.0,933714,1922.0,,5400.0,5400.0,subject,,
C14-2009-0031,5,300000.0,1200000,0.0,0,1689014.0,5922635,635245.0,3849505,1946.0,,0.0,21525.37,subject,,
C14-2009-0032,1,0.0,0,32712020.0,32712020,253890.0,253890,32454594.0,32454594,,,87610.0,87610.0,subject,,
C14-2009-0033,1,119930.0,119930,0.0,0,1427856.0,1427856,406878.0,406878,1981.0,,23986.0,23986.0,subject,,
C14-2009-0034,1,0.0,0,6441057.0,6441057,234285.0,234285,6339622.0,6339622,,,134889.0,134889.0,subject,,
C14-2009-0035,1,29202550.0,29202550,0.0,0,1908311.0,1908311,110800000.0,110800000,2008.0,,294975.25,294975.25,subject,,
C14-2009-0038,1,999736.0,999736,0.0,0,1716873.0,1716873,1112619.0,1112619,1967.0,,126716.04,126716.04,subject,,
C14-2009-0039,1,819480.0,819480,0.0,0,269725.0,269725,1542443.0,1542443,1994.0,,0.0,0.0,subject,,
C14-2009-0042,1,0.0,0,490644.0,490644,100073.0,100073,327250.0,327250,,,0.0,0.0,subject,,
C14-2009-0044,1,11029536.0,11029536,0.0,0,1809749.0,1809749,12097678.0,12097678,1967.0,,408501.32,408501.32,subject,,
C14-2009-0049,1,2527200.0,2527200,0.0,0,188618.0,188618,3479430.0,3479430,1970.0,,18720.0,18720.0,subject,,
C14-2009-0058,1,2839050.0,2839050,0.0,0,1580889.0,1580889,5839551.0,5839551,2015.0,,126.18,126.18,subject,,
C14-2009-0059,1,408593.0,408593,0.0,0,1787686.0,1787686,645608.0,645608,1946.0,,0.0,0.0,subject,,
C14-2009-0061,1,185348.0,185348,0.0,0,475588.0,475588,298983.0,298983,2015.0,,37069.56,37069.56,subject,,
C14-2009-0063,1,25000.0,25000,0.0,0,100227.0,100227,0.0,0,0.0,,0.0,0.0,subject,,
C14-2009-0066,1,1836800.0,1836800,0.0,0,1574429.0,1574429,1967000.0,1967000,1968.0,,13120.0,13120.0,subject,,
C14-2009-0069,1,1081604.0,1081604,0.0,0,1958418.0,1958418,3204812.0,3204812,2014.0,,63623.74,63623.74,subject,,
C14-2009-0071,1,872289.0,872289,0.0,0,1661822.0,1661822,1991985.0,1991985,1969.0,,38768.4,38768.4,subject,,
C14-2009-0072,1,0.0,0,0.0,0,1008000.0,1008000,2022205.0,2022205,2010.0,,196020.0,196020.0,subject,,
C14-2009-0077,1,3910860.0,3910860,0.0,0,121707.0,121707,4281638.0,4281638,1954.0,,130362.0,130362.0,buffer,,
C14-2009-0078,1,289591.0,289591,0.0,0,1762981.0,1762981,1098928.0,1098928,2011.0,,18927.54,18927.54,subject,,
C14-2009-0079,1,24553901.0,24553901,0.0,0,1518513.0,1518513,93100000.0,93100000,2015.0,,23609.52,23609.52,subject,,
C14-2009-0081,1,1750000.0,1750000,0.0,0,1421241.0,1421241,2300000.0,2300000,,,32294.0,32294.0,subject,,
C14-2009-0082,1,0.0,0,0.0,0,1324381.0,1324381,678910.0,678910,1980.0,,8102.0,8102.0,subject,,
C14-2009-0083,1,1187598.0,1187598,0.0,0,1335697.0,1335697,1195065.0,1195065,1937.0,,21592.69,21592.69,subject,,
C14-2009-0092,1,752805.0,752805,0.0,0,2036890.0,2036890,56900000.0,56900000,,,409132.94,409132.94,subject,,
C14-2009-0093,1,407338.0,407338,0.0,0,275669.0,275669,590698.0,590698,1967.0,,0.0,0.0,subject,,
C14-2009-0097,1,303394.0,303394,0.0,0,1914096.0,1914096,540837.0,540837,1972.0,,35414.0,35414.0,subject,,
C14-2009-0098,1,261566.0,261566,0.0,0,1280393.0,1280393,413953.0,413953,1973.0,,0.0,0.0,subject,,
C14-2009-0103,1,906156.0,906156,0.0,0,1964804.0,1964804,908556.0,908556,1969.0,,1132695.0,1132695.0,subject,,
C14-2009-0106.001,1,263125.0,263125,0.0,0,1961194.0,1961194,390000.0,390000,,,0.0,0.0,subject,,
