case_number,tcad_id,protested
C14-2008-0166,0209060501,0
C14-2008-0166,0209060510,0
C14-2008-0166,0209060610,0
C14-2008-0166,0209060601,0
C14-2008-0166,0209060611,0
C14-2008-0171,0218110302,0
C14-2008-0171,0218110304,0
C14-2008-0171,0218130117,0
C14-2008-0171,0218130104,0
C14-2008-0171,0218130105,0
C14-2008-0171,0219131101,0
C14-2008-0171,0218130303,0
C14-2008-0171,0218110201,0
C14-2008-0171,0218130204,0
C14-2008-0171,0218110303,0
C14-2008-0171,0218110305,0
C14-2008-0171,0219130601,0
C14-2008-0175,0222140203,0
C14-2008-0175,0222140124,0
C14-2008-0175,0222140153,0
C14-2008-0175,0222140206,0
C14-2008-0175,0222140201,0
C14-2008-0175,0222140232,0
C14-2008-0175,0222140233,0
C14-2008-0175,0222140239,0
C14-2008-0175,0222140202,0
C14-2008-0175,0222140231,0
C14-2008-0175,0222140126,0
C14-2008-0175,0222140204,0
C14-2008-0175,0222140127,0
C14-2008-0175,0222140205,0
C14-2008-0184,0114050603,0
C14-2008-0184,0114050806,0
C14-2008-0184,0114050807,0
C14-2008-0184,0114050626,0
C14-2008-0184,0114050624,0
C14-2008-0184,0114050803,0
C14-2008-0184,0114050605,0
C14-2008-0184,0114050625,0
C14-2008-0184,0114050628,0
C14-2008-0223,0218031514,0
C14-2008-0223,0218031510,0
C14-2008-0223,0218031511,0
C14-2008-0223,0218031801,0
C14-2008-0223,0218031520,0
C14-2008-0223,0218031613,0
C14-2008-0223,0218031506,0
C14-2008-0223,0218031507,0
C14-2008-0223,0218031612,0
C14-2008-0223,0218031802,0
C14-2008-0223,0218031817,0
C14-2008-0223,0218031516,0
C14-2008-0247,0202081512,0
C14-2008-0247,0202081006,0
C14-2008-0247,0202081002,0
C14-2008-0247,0203090507,0
C14-2008-0247,0202081012,0
C14-2008-0247,0202081003,0
C14-2008-0247,0202081011,0
C14-2008-0247,0203090509,0
C14-2008-0247,0202081009,0
C14-2008-0247,0203090508,0
C14-2008-0247,0202081502,0
C14-2008-0247,0202081010,0
C14-2008-0247,0203090510,0
C14-2008-0247,0202081013,0
C14-2008-0247,0203090611,0
C14-2008-0247,0203090506,0
C14-2008-0247,0202083601,0
C14-2008-0247,0202081007,0
C14-2008-0247,0202081008,0
C14-2009-0028,0409050339,0
C14-2009-0028,0409050607,0
C14-2009-0028,0409050340,0
C14-2009-0028,0409050601,0
C14-2009-0028,0409050331,0
C14-2009-0028,0409050614,0
C14-2009-0028,0409050613,0
