parcel_id_10,latitude,longitude
0100082501,30.24906431,-97.77630380
0100082601,30.24950795,-97.77787832
0100082701,30.24982095,-97.77636863
0100082801,30.25095987,-97.77590259
0100082901,30.25061436,-97.77953166
0101000102,30.25018323,-97.75418003
0101000104,30.25056197,-97.75446378
0101000111,30.25162035,-97.75392106
0101000112,30.25187889,-97.75388647
0101000113,30.25096617,-97.75419374
0101000201,30.25266328,-97.75221537
0101000302,30.25166592,-97.75013447
0101000303,30.25183710,-97.75002514
0101000304,30.25195718,-97.74995942
0101000305,30.25207725,-97.74989369
0101000306,30.25219680,-97.74982824
0101000307,30.25232299,-97.74975835
0101000308,30.25244771,-97.74969142
0101000309,30.25237540,-97.74942868
0101000310,30.25224438,-97.74949378
0101000311,30.25210889,-97.74953285
