parcel_id_10,ears_account_number,source
0100081413,100809,LUI_property_id
0100081414,100811,LUI_property_id
0100081416,100815,LUI_property_id
0100081417,100817,LUI_property_id
0100081501,100818,LUI_property_id
0100081502,100819,LUI_property_id
0100081503,100820,LUI_property_id
0100081504,100821,LUI_property_id
0100081505,100822,LUI_property_id
0100081506,100823,LUI_property_id
0100081507,100824,LUI_property_id
0100081508,100825,LUI_property_id
0100081509,100826,LUI_property_id
0100081510,100827,LUI_property_id
0101000102,100830,LUI_property_id
0101000104,100833,LUI_property_id
0101000111,100835,LUI_property_id
0101000112,100836,LUI_property_id
0101000113,100837,LUI_property_id
0101000201,100838,LUI_property_id
0101000302,100840,LUI_property_id
0101000303,100841,LUI_property_id
0101000304,100842,LUI_property_id
0101000305,100843,LUI_property_id
0101000306,100844,LUI_property_id
0101000307,100845,LUI_property_id
0101000308,100846,LUI_property_id
0101000309,100847,LUI_property_id
0101000310,100848,LUI_property_id
0101000311,100849,LUI_property_id
0101000312,100850,LUI_property_id
0101000318,100851,LUI_property_id
0101000319,100852,LUI_property_id
0101010101,100854,LUI_property_id
0101010102,100855,LUI_property_id
0101010103,100856,LUI_property_id
0101010104,100857,LUI_property_id
0101010105,100858,LUI_property_id
0101010106,100859,LUI_property_id
0101010107,100860,LUI_property_id
0101010108,100861,LUI_property_id
0101010109,100862,LUI_property_id
0101010110,100863,LUI_property_id
0101010201,100864,LUI_property_id
0101010202,100865,LUI_property_id
0101010205,100867,LUI_property_id
0101010206,100868,LUI_property_id
0101010207,100869,LUI_property_id
0101010208,100870,LUI_property_id
0101010209,100871,LUI_property_id
0101010210,583062,LUI_property_id
0101010211,583063,LUI_property_id
0101010301,100872,LUI_property_id
0101010302,100873,LUI_property_id
0101010304,100874,LUI_property_id
0101010307,100876,LUI_property_id
0101010308,100877,LUI_property_id
0101010309,100878,LUI_property_id
0101010310,100879,LUI_property_id
0101010311,100880,LUI_property_id
0101010312,494758,LUI_property_id
0101010313,494759,LUI_property_id
0101010314,494760,LUI_property_id
0101010315,494761,LUI_property_id
0101010401,100881,LUI_property_id
0101010402,100882,LUI_property_id
0101010403,100883,LUI_property_id
0101010404,100884,LUI_property_id
0101010405,100885,LUI_property_id
0101010406,100886,LUI_property_id
0101010407,100887,LUI_property_id
0101010408,100888,LUI_property_id
0101010409,100889,LUI_property_id
0101010410,100890,LUI_property_id
0101010411,100891,LUI_property_id
0101010412,100892,LUI_property_id
0101010413,100893,LUI_property_id
0101010414,100894,LUI_property_id
0101010415,100895,LUI_property_id
0101010416,100896,LUI_property_id
0101010417,782932,LUI_property_id
0101010501,100897,LUI_property_id
0101010502,100898,LUI_property_id
0101010503,100899,LUI_property_id
0101010505,100901,LUI_property_id
0101010506,100902,LUI_property_id
0101010507,100903,LUI_property_id
0101010509,100905,LUI_property_id
0101010512,100906,LUI_property_id
0101010513,100907,LUI_property_id
0101010514,100908,LUI_property_id
0101010515,100909,LUI_property_id
0101010516,100910,LUI_property_id
0101010517,100911,LUI_property_id
0101010518,100912,LUI_property_id
0101010519,100913,LUI_property_id
0101010520,100914,LUI_property_id
0101010521,100915,LUI_property_id
0101010522,100916,LUI_property_id
0101010602,100918,LUI_property_id
0101010603,100919,LUI_property_id
0101010605,100921,LUI_property_id
0101010606,100922,LUI_property_id
0101010607,100923,LUI_property_id
0101010608,100924,LUI_property_id
0101010609,100925,LUI_property_id
0101010610,100926,LUI_property_id
0101010611,100927,LUI_property_id
0101010612,100928,LUI_property_id
0101010613,100929,LUI_property_id
0101010614,100930,LUI_property_id
0101010615,100931,LUI_property_id
0101010616,100932,LUI_property_id
0101010617,100933,LUI_property_id
0101010618,437443,LUI_property_id
0101010620,836979,LUI_property_id
0101010621,842400,LUI_property_id
0101010701,100934,LUI_property_id
0101010703,100936,LUI_property_id
0101010706,100939,LUI_property_id
0101010708,100941,LUI_property_id
0101010709,100942,LUI_property_id
0101010710,100943,LUI_property_id
0101010711,100944,LUI_property_id
0101010713,100946,LUI_property_id
0101010714,100947,LUI_property_id
0101010720,937457,LUI_property_id
0101010801,100951,LUI_property_id
0101010803,100953,LUI_property_id
0101010804,100954,LUI_property_id
0101010805,100955,LUI_property_id
0101010806,100956,LUI_property_id
0101010807,100957,LUI_property_id
0101010809,100959,LUI_property_id
0101010810,100960,LUI_property_id
0101010813,100962,LUI_property_id
0101010814,100963,LUI_property_id
0101010815,100964,LUI_property_id
0101010816,100965,LUI_property_id
0101010818,100967,LUI_property_id
0101010819,100968,LUI_property_id
0101010820,100969,LUI_property_id
0101010821,100970,LUI_property_id
0101010824,100973,LUI_property_id
0101010828,771557,LUI_property_id
0101010829,771558,LUI_property_id
0101010902,100975,LUI_property_id
0101010903,100976,LUI_property_id
0101010904,100977,LUI_property_id
0101010906,100979,LUI_property_id
0101010912,100980,LUI_property_id
0101010913,100981,LUI_property_id
0101010914,100982,LUI_property_id
0101010915,100983,LUI_property_id
0101010916,100984,LUI_property_id
0101010917,100985,LUI_property_id
0101010918,100986,LUI_property_id
0101010920,100987,LUI_property_id
0101010922,473387,LUI_property_id
0101010923,473388,LUI_property_id
0101010925,889155,LUI_property_id
0101010926,889156,LUI_property_id
0101011002,100990,LUI_property_id
0101011003,100991,LUI_property_id
0101011004,100992,LUI_property_id
0101011007,100993,LUI_property_id
0101011008,100994,LUI_property_id
0101011009,100995,LUI_property_id
0101011010,100996,LUI_property_id
0101011012,100998,LUI_property_id
0101011013,100999,LUI_property_id
0101011014,101000,LUI_property_id
0101011015,101001,LUI_property_id
0101011016,101002,LUI_property_id
0101011017,101003,LUI_property_id
0101011018,101004,LUI_property_id
0101011019,101005,LUI_property_id
0101011020,101006,LUI_property_id
0101011021,101007,LUI_property_id
0101011023,473389,LUI_property_id
0101011024,707853,LUI_property_id
0101011025,717080,LUI_property_id
0101011026,806591,LUI_property_id
0101011101,101008,LUI_property_id
0101011102,101009,LUI_property_id
0101011103,101010,LUI_property_id
0101011104,101011,LUI_property_id
0101011105,101012,LUI_property_id
0101011106,101013,LUI_property_id
0101011107,101014,LUI_property_id
0101011108,101015,LUI_property_id
