Test_Year,Horizon,Model,Model_Family,ROC_AUC,PR_AUC,Naive_PR_AUC,Train_Samples,Test_Samples
2020,1_Year,RandomForest,Tree,0.930987851662404,0.5015508269380149,0.009337538684088834,168674,5284
2020,1_Year,LogisticL2,Linear,0.9281686913895992,0.45889148635555194,0.009337538684088834,168674,5284
2020,1_Year,LogisticL1,Linear,0.9285437979539641,0.451147303184932,0.009337538684088834,168674,5284
2020,1_Year,MLP,Deep,0.8763507033248081,0.3827515237823392,0.009337538684088834,168674,5284
2020,2_Years,CatBoost,Tree,0.9429836844561895,0.7315323422451525,0.010440257538209801,168674,5284
2020,2_Years,RandomForest,Tree,0.9334438817588079,0.6915486377746503,0.010440257538209801,168674,5284
2020,2_Years,LogisticL2,Linear,0.9390832552475408,0.7392811707483222,0.010440257538209801,168674,5284
2020,2_Years,LogisticL1,Linear,0.9392390758853525,0.7400323414197715,0.010440257538209801,168674,5284
2020,2_Years,MLP,Deep,0.9018112394408706,0.7174745828745869,0.010440257538209801,168674,5284
2021,14_Days,CatBoost,Tree,0.9901177799290094,0.23770801123467528,0.0010117384656066408,173958,6224
2021,14_Days,RandomForest,Tree,0.9875331992950579,0.25388038079838776,0.0010117384656066408,173958,6224
2021,14_Days,LogisticL2,Linear,0.9698382853029514,0.08399260283533866,0.0010117384656066408,173958,6224
2021,14_Days,LogisticL1,Linear,0.97067602452404,0.08397691570426083,0.0010117384656066408,173958,6224
2021,14_Days,MLP,Deep,0.9916722515948073,0.27834084797105346,0.0010117384656066408,173958,6224
2021,3_Months,CatBoost,Tree,0.9422200502037229,0.26037862331740674,0.005087434898078847,173958,6224
2021,3_Months,RandomForest,Tree,0.9499180593772933,0.33815089630498935,0.005087434898078847,173958,6224
2021,3_Months,LogisticL2,Linear,0.9328622316195267,0.2207779710004135,0.005087434898078847,173958,6224
2021,3_Months,LogisticL1,Linear,0.9370721213960037,0.21841150413625549,0.005087434898078847,173958,6224
2021,3_Months,MLP,Deep,0.8932735200032756,0.163358753960599,0.005087434898078847,173958,6224
2021,6_Months,CatBoost,Tree,0.9559201674314365,0.5514931139942669,0.008220375033053956,173958,6224
2021,6_Months,RandomForest,Tree,0.9500729496396993,0.5001612702837717,0.008220375033053956,173958,6224
2021,6_Months,LogisticL2,Linear,0.9535586337202171,0.5223801222453993,0.008220375033053956,173958,6224
2021,6_Months,LogisticL1,Linear,0.9565400093244669,0.5219486228549576,0.008220375033053956,173958,6224
2021,6_Months,MLP,Deep,0.9132060318667746,0.38792382189543173,0.008220375033053956,173958,6224
2021,1_Year,CatBoost,Tree,0.9598773429656156,0.7818420348046888,0.010111636142057278,173958,6224
2021,1_Year,RandomForest,Tree,0.9341363806985483,0.6943905264302949,0.010111636142057278,173958,6224
2021,1_Year,LogisticL2,Linear,0.9508323039935784,0.7553812202213468,0.010111636142057278,173958,6224
2021,1_Year,LogisticL1,Linear,0.954820427296142,0.758929837944204,0.010111636142057278,173958,6224
2021,1_Year,MLP,Deep,0.8847589201868788,0.5750433783156712,0.010111636142057278,173958,6224
2021,2_Years,CatBoost,Tree,0.9707126692635875,0.8572927397045821,0.011761459662677198,173958,6224
2021,2_Years,RandomForest,Tree,0.9504872565386756,0.7884908020097224,0.011761459662677198,173958,6224
2021,2_Years,LogisticL2,Linear,0.9567547393804487,0.8329038312513296,0.011761459662677198,173958,6224
2021,2_Years,LogisticL1,Linear,0.9610890743832313,0.836921234564834,0.011761459662677198,173958,6224
2021,2_Years,MLP,Deep,0.926186607308477,0.7800549574004477,0.011761459662677198,173958,6224
2022,14_Days,CatBoost,Tree,0.9904544990991604,0.23833061690604454,0.0011210886770043622,180182,6418
2022,14_Days,RandomForest,Tree,0.976829724309073,0.07128966639802756,0.0011210886770043622,180182,6418
2022,14_Days,LogisticL2,Linear,0.938511744909406,0.05088920116781663,0.0011210886770043622,180182,6418
2022,14_Days,LogisticL1,Linear,0.9377774756093415,0.05101451538894587,0.0011210886770043622,180182,6418
2022,14_Days,MLP,Deep,0.9730563959615188,0.22559489753398243,0.0011210886770043622,180182,6418
2022,3_Months,CatBoost,Tree,0.9585978866111905,0.39715738863381267,0.005783041591279928,180182,6418
2022,3_Months,RandomForest,Tree,0.75431719490539,0.1889713602854037,0.005783041591279928,180182,6418
2022,3_Months,LogisticL2,Linear,0.9199988718179026,0.2151471750180301,0.005783041591279928,180182,6418
2022,3_Months,LogisticL1,Linear,0.919144056921126,0.21395832292318723,0.005783041591279928,180182,6418
2022,3_Months,MLP,Deep,0.912837085081202,0.2611003698178626,0.005783041591279928,180182,6418
2022,6_Months,CatBoost,Tree,0.9407955174670292,0.6171926048503867,0.009779001232087556,180182,6418
2022,6_Months,RandomForest,Tree,0.821852662841035,0.3646550171270491,0.009779001232087556,180182,6418
2022,6_Months,LogisticL2,Linear,0.9186647412664855,0.31900180325411087,0.009779001232087556,180182,6418
2022,6_Months,LogisticL1,Linear,0.9168444201147689,0.3245930728636154,0.009779001232087556,180182,6418
2022,6_Months,MLP,Deep,0.8940510797342193,0.3302104653978485,0.009779001232087556,180182,6418
2022,1_Year,CatBoost,Tree,0.922599210353868,0.584099951694054,0.01277042101874771,180182,6418
2022,1_Year,RandomForest,Tree,0.7815944537239077,0.2699432150548716,0.01277042101874771,180182,6418
2022,1_Year,LogisticL2,Linear,0.9013313160433358,0.32470407023976805,0.01277042101874771,180182,6418
2022,1_Year,LogisticL1,Linear,0.9004042526253112,0.32914979139935596,0.01277042101874771,180182,6418
2022,1_Year,MLP,Deep,0.8693502768741117,0.3724225802681907,0.01277042101874771,180182,6418
2022,2_Years,CatBoost,Tree,0.9251316197332526,0.6260420815108867,0.014679601736022466,180182,6418
2022,2_Years,RandomForest,Tree,0.795839055328469,0.31295386382147905,0.014679601736022466,180182,6418
2022,2_Years,LogisticL2,Linear,0.9055394925656389,0.36511983726173153,0.014679601736022466,180182,6418
2022,2_Years,LogisticL1,Linear,0.9051170182618078,0.37068267179423164,0.014679601736022466,180182,6418
2022,2_Years,MLP,Deep,0.8820446996801063,0.4889798427076956,0.014679601736022466,180182,6418
2023,14_Days,CatBoost,Tree,0.9969121968225508,0.7104370595491571,0.0012057877813504824,186600,6708
2023,14_Days,RandomForest,Tree,0.9960954230788386,0.6617380815250227,0.0012057877813504824,186600,6708
2023,14_Days,LogisticL2,Linear,0.9820907415707953,0.058368354328712097,0.0012057877813504824,186600,6708
2023,14_Days,LogisticL1,Linear,0.9822102694357289,0.05867684335246164,0.0012057877813504824,186600,6708
2023,14_Days,MLP,Deep,0.9960157378355496,0.6650706528264672,0.0012057877813504824,186600,6708
2023,3_Months,CatBoost,Tree,0.961304506268727,0.4384191737575779,0.006371918542336549,186600,6708
2023,3_Months,RandomForest,Tree,0.9321418580168295,0.3014834109140734,0.006371918542336549,186600,6708
2023,3_Months,LogisticL2,Linear,0.9557480509154624,0.1476030518237376,0.006371918542336549,186600,6708
2023,3_Months,LogisticL1,Linear,0.9555069460293154,0.14755591503968798,0.006371918542336549,186600,6708
2023,3_Months,MLP,Deep,0.9509774870613179,0.23353615174045178,0.006371918542336549,186600,6708
2023,6_Months,CatBoost,Tree,0.9267519742853414,0.43054106850439117,0.01082529474812433,186600,6708
2023,6_Months,RandomForest,Tree,0.899732003002219,0.3926198936515067,0.01082529474812433,186600,6708
2023,6_Months,LogisticL2,Linear,0.9312948701213941,0.2418118301634292,0.01082529474812433,186600,6708
2023,6_Months,LogisticL1,Linear,0.9299226602271244,0.23938995924963857,0.01082529474812433,186600,6708
2023,6_Months,MLP,Deep,0.9088622568855241,0.36005910361547017,0.01082529474812433,186600,6708
2023,1_Year,CatBoost,Tree,0.9296186061759741,0.47896693906146287,0.013987138263665594,186600,6708
2023,1_Year,RandomForest,Tree,0.8730115915295216,0.48023770209461214,0.013987138263665594,186600,6708
2023,1_Year,LogisticL2,Linear,0.9283594749484532,0.3693571683084349,0.013987138263665594,186600,6708
2023,1_Year,LogisticL1,Linear,0.9254162627211269,0.3630923474784116,0.013987138263665594,186600,6708
2023,1_Year,MLP,Deep,0.84360192366959,0.23611767712911844,0.013987138263665594,186600,6708
