Anchor,Model,Profile,Evaluate_Year,PRAUC
Pre-2019,RandomForest,Regularized,2020,0.8358149995368038
Pre-2019,LightGBM,Regularized,2020,0.5524692020103343
Pre-2019,Logistic,Regularized,2020,0.7726250149182481
Pre-2019,TabNet,Regularized,2020,0.4135460893590232
Pre-2019,TabNetVREx,Regularized,2020,0.42438355028837405
Pre-2019,CatBoost,ExtShallow,2020,0.6161880228720122
Pre-2019,XGBoost,ExtShallow,2020,0.5623898369309692
Pre-2019,RandomForest,ExtShallow,2020,0.7646677935681694
Pre-2019,LightGBM,ExtShallow,2020,0.5496541599095778
Pre-2019,Logistic,ExtShallow,2020,0.8434089563318887
Pre-2019,TabNet,ExtShallow,2020,0.6495844434859356
Pre-2019,TabNetVREx,ExtShallow,2020,0.6402408348197227
Pre-2019,CatBoost,ExtDeep,2020,0.6852880463312794
Pre-2019,XGBoost,ExtDeep,2020,0.5841698217748638
Pre-2019,RandomForest,ExtDeep,2020,0.7123073797056547
Pre-2019,LightGBM,ExtDeep,2020,0.662479231663221
Pre-2019,Logistic,ExtDeep,2020,0.6581789451150354
Pre-2019,TabNet,ExtDeep,2020,0.29245621640195213
Pre-2019,TabNetVREx,ExtDeep,2020,0.3220008988160076
Pre-2019,CatBoost,Default,2021,0.3983895880068423
Pre-2019,XGBoost,Default,2021,0.5521876226589416
Pre-2019,RandomForest,Default,2021,0.5136237576465281
Pre-2019,LightGBM,Default,2021,0.5005584078621428
Pre-2019,Logistic,Default,2021,0.4683308406992618
Pre-2019,TabNet,Default,2021,0.4519456296504616
Pre-2019,TabNetVREx,Default,2021,0.16354133396583023
Pre-2019,CatBoost,HighCap,2021,0.4306892767583944
Pre-2019,XGBoost,HighCap,2021,0.4948726534049943
Pre-2019,RandomForest,HighCap,2021,0.5956101265883874
Pre-2019,LightGBM,HighCap,2021,0.5519235487307935
Pre-2019,Logistic,HighCap,2021,0.4979867052689194
Pre-2019,TabNet,HighCap,2021,0.054602295924270176
Pre-2019,TabNetVREx,HighCap,2021,0.10433610469980704
Pre-2019,CatBoost,Regularized,2021,0.4155668747414153
Pre-2019,XGBoost,Regularized,2021,0.5129909031061105
Pre-2019,RandomForest,Regularized,2021,0.4572003209247181
Pre-2019,LightGBM,Regularized,2021,0.47484046784049216
Pre-2019,Logistic,Regularized,2021,0.4971857204420229
Pre-2019,TabNet,Regularized,2021,0.3271493533580428
Pre-2019,TabNetVREx,Regularized,2021,0.3104642395049212
Pre-2019,CatBoost,ExtShallow,2021,0.4629955894111445
Pre-2019,XGBoost,ExtShallow,2021,0.5309529172698242
Pre-2019,RandomForest,ExtShallow,2021,0.5169287715086034
Pre-2019,LightGBM,ExtShallow,2021,0.4843139162606309
Pre-2019,Logistic,ExtShallow,2021,0.46311243948380265
Pre-2019,TabNet,ExtShallow,2021,0.32786159513894014
Pre-2019,TabNetVREx,ExtShallow,2021,0.36409558601195263
Pre-2019,CatBoost,ExtDeep,2021,0.600283015717122
Pre-2019,XGBoost,ExtDeep,2021,0.46537286851499493
Pre-2019,RandomForest,ExtDeep,2021,0.632089267330864
Pre-2019,LightGBM,ExtDeep,2021,0.4785173677254422
Pre-2019,Logistic,ExtDeep,2021,0.5033450387799623
Pre-2019,TabNet,ExtDeep,2021,0.13337488517155197
Pre-2019,TabNetVREx,ExtDeep,2021,0.3989849654579098
Pre-2019,CatBoost,Default,2022,0.256547619047619
Pre-2019,XGBoost,Default,2022,0.2724567099567099
Pre-2019,RandomForest,Default,2022,0.29910714285714285
Pre-2019,LightGBM,Default,2022,0.2641233766233766
Pre-2019,Logistic,Default,2022,0.31799242424242424
Pre-2019,TabNet,Default,2022,0.21329365079365079
Pre-2019,TabNetVREx,Default,2022,0.6678571428571428
Pre-2019,CatBoost,HighCap,2022,0.27849927849927847
Pre-2019,XGBoost,HighCap,2022,0.25847069597069594
Pre-2019,RandomForest,HighCap,2022,0.29166666666666663
Pre-2019,LightGBM,HighCap,2022,0.28733766233766234
Pre-2019,Logistic,HighCap,2022,0.2875
Pre-2019,TabNet,HighCap,2022,0.020979865478686233
Pre-2019,TabNetVREx,HighCap,2022,0.014180939885640646
Pre-2019,CatBoost,Regularized,2022,0.2582001332001332
Pre-2019,XGBoost,Regularized,2022,0.25608974358974357
Pre-2019,RandomForest,Regularized,2022,0.2470238095238095
Pre-2019,LightGBM,Regularized,2022,0.25270562770562766
Pre-2019,Logistic,Regularized,2022,0.28525641025641024
Pre-2019,TabNet,Regularized,2022,0.31858974358974357
Pre-2019,TabNetVREx,Regularized,2022,0.27275641025641023
Pre-2019,CatBoost,ExtShallow,2022,0.2853174603174603
Pre-2019,XGBoost,ExtShallow,2022,0.2922619047619048
Pre-2019,RandomForest,ExtShallow,2022,0.315018315018315
Pre-2019,LightGBM,ExtShallow,2022,0.28660714285714284
Pre-2019,Logistic,ExtShallow,2022,0.2701048951048951
Pre-2019,TabNet,ExtShallow,2022,0.2775895638629284
Pre-2019,TabNetVREx,ExtShallow,2022,0.2662751491743505
Pre-2019,CatBoost,ExtDeep,2022,0.31726190476190474
Pre-2019,XGBoost,ExtDeep,2022,0.2708333333333333
Pre-2019,RandomForest,ExtDeep,2022,0.4992424242424242
Pre-2019,LightGBM,ExtDeep,2022,0.2631313131313131
Pre-2019,Logistic,ExtDeep,2022,0.2641233766233766
Pre-2019,TabNet,ExtDeep,2022,0.012556989971513208
Pre-2019,TabNetVREx,ExtDeep,2022,0.06060223977625328
Pre-2019,CatBoost,Default,2023,0.8552669552669552
Pre-2019,XGBoost,Default,2023,0.8577777777777778
Pre-2019,RandomForest,Default,2023,0.8132034632034633
Pre-2019,LightGBM,Default,2023,0.7634523809523809
Pre-2019,Logistic,Default,2023,0.8367528223410576
Pre-2019,TabNet,Default,2023,0.5281215516509634
Pre-2019,TabNetVREx,Default,2023,0.43014046829345337
Pre-2019,CatBoost,HighCap,2023,0.807008547008547
Pre-2019,XGBoost,HighCap,2023,0.8377777777777777
Pre-2019,RandomForest,HighCap,2023,0.7936752136752137
Pre-2019,LightGBM,HighCap,2023,0.710982905982906
Pre-2019,Logistic,HighCap,2023,0.701110686698922
Pre-2019,TabNet,HighCap,2023,0.07388620308263166
Pre-2019,TabNetVREx,HighCap,2023,0.08977546653244338
Pre-2019,CatBoost,Regularized,2023,0.8004151404151404
Pre-2019,XGBoost,Regularized,2023,0.840103785103785
Pre-2019,RandomForest,Regularized,2023,0.7381990231990231
Pre-2019,LightGBM,Regularized,2023,0.7865323565323564
Pre-2019,Logistic,Regularized,2023,0.6574891774891775
Pre-2019,TabNet,Regularized,2023,0.3765019382891639
Pre-2019,TabNetVREx,Regularized,2023,0.3829551820728291
Pre-2019,CatBoost,ExtShallow,2023,0.7574891774891774
Pre-2019,XGBoost,ExtShallow,2023,0.8259523809523809
Pre-2019,RandomForest,ExtShallow,2023,0.7507864357864357
Pre-2019,LightGBM,ExtShallow,2023,0.737008547008547
Pre-2019,Logistic,ExtShallow,2023,0.7603418803418803
Pre-2019,TabNet,ExtShallow,2023,0.45575309747723536
