,Anch2018_CatBoost_YetiRank_Depth6_Base,Anch2018_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2018_CatBoost_YetiRank_Depth10_Base,Anch2018_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth6_Base,Anch2019_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2019_CatBoost_YetiRank_Depth10_Base,Anch2019_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth6_Base,Anch2020_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2020_CatBoost_YetiRank_Depth10_Base,Anch2020_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth6_Base,Anch2021_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2021_CatBoost_YetiRank_Depth10_Base,Anch2021_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth6_Base,Anch2022_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2022_CatBoost_YetiRank_Depth10_Base,Anch2022_CatBoost_YetiRank_Depth10_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth6_Base,Anch2023_CatBoost_YetiRank_Depth6_Meta_Recursive,Anch2023_CatBoost_YetiRank_Depth10_Base,Anch2023_CatBoost_YetiRank_Depth10_Meta_Recursive,Mathematical_Cluster,Average_Attribution_Magnitude
district_gross_site_area_acres_lag_5yr,0.4489778256601872,0.1153600458588749,0.0559561381140946,0.0463135172458581,1.30635402167042,0.1311214608369464,0.0749411538399434,0.1649442634541998,1.2185922579502275,0.2224958499822663,0.1210296200286941,0.0750758425000933,1.4279720975059311,0.1395996660523006,0.2042350549212908,0.1547971516816044,0.4846339419699922,0.3757730390284909,0.0750243872656277,0.0900955979035435,0.309378404653829,0.6575039022763259,0.1518602609806638,0.1476693060797191,1,0.34165436697754686
district_latitude_lag_3yr,0.0,0.5027524548636473,0.0,0.5296161112088822,0.0,0.8249923224310096,0.0181038281895531,0.9014040314304342,0.1113962920246957,0.3335681991396578,0.1510662070354972,0.5593009368742785,0.2339763827546951,0.6379818518536409,0.2445849947139635,0.4194997803192538,0.0398409254455649,0.4234748912964535,0.1869045360925212,0.3736848115612287,0.0,0.7947151417112911,0.1164260565195292,0.5932247591812679,1,0.333188104776961
district_delta_min_lot_sqft_lag_2yr,0.558572413566015,0.5024815467034516,0.0942099674364119,0.3936339293761702,0.317998441671429,0.1568209321338069,0.1160753429606782,0.0958825524306513,0.0,0.8830227441942781,0.1098551127913241,0.3044126904722609,0.2609904970110581,0.2152948367250632,0.0091880056003085,0.3807525588262375,0.5244872363624311,0.423685741450204,0.2278884465233782,0.2474783210766234,0.0,0.6773125803001065,0.1695685911368697,0.6206167222227441,1,0.3037595504571459
district_delta_max_bldg_cov_pct_lag_5yr,0.1951130077937045,0.2849416636979551,0.5707275339953497,0.1550068959191519,0.2418519505905023,0.1875208644343944,0.5747289745249297,0.2433516479876897,0.132805726400497,0.0906412505355341,0.4115008298708353,0.4543538183480601,0.1923988824405054,0.1286679161778527,0.6250340788404588,0.1861489574934063,0.291919507941216,0.0233872812829677,0.323472853747851,0.2210694152178407,0.6051179240274681,0.1721961166891117,0.5582674578721615,0.4101736013762427,1,0.3033499232169036
lui_shape_area,0.6586070853845235,0.7811260091758085,0.0936687609092232,0.1162859185259347,0.5106332513991537,0.1837190079609653,0.0265647033700819,0.1216716449399617,0.1641446667598227,0.1958765075359316,0.0,0.0595766153677682,0.1649246621194171,0.2093018088692601,0.3403669999688518,0.1166214736533152,0.6234622623526305,0.100324910361925,0.3275203580318836,0.2547833294190971,0.7260953647376043,0.3737911215964353,0.6252302686464432,0.2922205648083775,1,0.29443822066226727
district_delta_max_far_lag_5yr,0.3602584460426194,0.2199827425847219,0.3503771635241627,0.0153833679319932,0.2997011669884353,0.6077371202105029,0.1258229763864221,0.3140120807785987,0.419597496317977,0.4305520672327818,0.1081864134166036,0.3626488022654466,0.4157253204929063,0.1348604839961364,0.2213714188152956,0.4992143894372827,0.2557557822434766,0.0475792673011244,0.5520913753778822,0.1186596972524952,0.5290692303890359,0.1159914211261798,0.1475994523512102,0.1275087907590684,1,0.2824869363842649
district_median_neighbor_far_lag_1yr,0.0,0.3357164147294419,0.2907686330541646,0.5470258689762283,0.0344607031928426,0.5046004687200472,0.1147641154428763,0.5971376034326686,0.170380409374104,0.552916712145017,0.1170543180138937,0.3861988342292942,0.1717788385643723,0.4321998455645842,0.0,0.4325544397051602,0.0,0.4041529065147423,0.0554919179087684,0.2615391888445034,0.0,0.457834792772661,0.1320843015955048,0.4376382153692865,1,0.26817910533959005
district_owner_occupancy_share_lag_2yr,0.2624848814975811,0.6382785414269602,0.9211657014919804,0.1254390812460561,0.0,0.1424075409681902,0.1030536757189863,0.3103047219783343,0.0,0.0463334493544326,0.9202816993092656,0.5420167020993374,0.0,0.2151820892410101,0.3016828011750034,0.2700757394892527,0.0,0.0301843194688426,0.4785352170545343,0.3502383532612744,0.0821452928791057,0.050417188364415,0.3423476876397497,0.1558042532691181,1,0.26201578903889294
district_delta_max_height_ft_lag_2yr,0.2825157742208056,0.0641581022596198,0.4175366702723325,0.5198443479010626,0.1209798063295547,0.104342110367082,0.1935212703775361,0.0691416980623436,0.2585485374078882,0.1224573480923445,0.0069533948679503,0.4036740451180708,0.4688063588720018,0.2990790776229765,0.4396866997458888,0.1333025029597341,0.0,0.5978441595983964,0.2433901502965939,0.4497792413695285,0.0,0.1430609607676513,0.2303322027422778,0.4805222803093628,1,0.25206153081504173
district_median_sqft_lag_2yr,0.3636591880786927,0.0307430927279414,0.4547480487549891,0.2219817625636436,0.2224760841081266,0.0522856983274745,0.5589121449399345,0.2009546499377868,0.3804121036818678,0.0489111547173909,0.4427461089005434,0.3566465278846761,0.0,0.1293472243583681,0.1959918624311295,0.0250855853101218,0.0,0.3759295344356829,0.6537279763201121,0.7571475852340127,0.0,0.0831796056667897,0.3442262736465216,0.0670078776286128,1,0.2485883370689341
