CASE_NUMBER,has_transcribed_opposition,prob_frame_traffic,prob_frame_infrastructure,prob_frame_displacement,prob_frame_neighborhood,prob_frame_procedural
C14-2010-0112,0,0.5084718757824663,0.34330246614937215,0.4097740128613274,0.450346491246619,0.29164966837772144
C14-2014-0008,0,0.453141891509189,0.4568781472184193,0.3863311962454569,0.4400289618582656,0.42093940821419723
C14-2016-0101,0,0.4355298191281384,0.5442582924265833,0.47396873006656703,0.6003941349911683,0.45076416038288847
C14-2017-0110,0,0.404799647195949,0.4649973576550998,0.5204230019460278,0.6185357868662289,0.37747035828359454
C14H-2015-0147,0,0.507080495086864,0.5107445493563899,0.5242746268497506,0.30166436139693603,0.27913689190864
NPA-2015-0005.04,0,0.48889071626808556,0.48124105280217244,0.5249434785428213,0.28637261985690515,0.24668338625792227
NPA-2018-0016.01,0,0.3067518181082574,0.3553164704528801,0.37811515047515537,0.4332923155672281,0.33626760931999955
C14-2017-0105,0,0.32486027292261715,0.34885296096369384,0.38428338163712583,0.4021605482444548,0.33578471934697485
C14-2016-0132,0,0.4398587555612061,0.4340811044141003,0.381517181927888,0.45162898991443273,0.45397978706181175
C14H-2009-0026,0,0.4323513059040331,0.4373373796470979,0.5451105373015253,0.30471100119553857,0.21430860461960902
C14-2013-0118,0,0.46850063396020664,0.4736317685884847,0.37936444906220385,0.4388240204332212,0.43289168967628244
C14-2013-0145,0,0.4615948918983177,0.5732002523478755,0.5219158480960062,0.6229643783388993,0.4726105767861887
C14-2016-0016,0,0.38215934196015283,0.40773805606755836,0.41990918020440887,0.4480282818806498,0.3978825943834098
C14-2016-0038,0,0.49997866773556165,0.5125153880787814,0.4270800072796895,0.4670838114076274,0.5253404950994154
C14-2013-0040,0,0.46608134680940794,0.45245706280996567,0.4068770180136836,0.4460759971277601,0.4733696434269972
C14-2011-0055,0,0.5566436440974318,0.5152096222883928,0.4116614617914677,0.38822846088058477,0.4831122305677626
C14-2015-0155,0,0.48287778702470635,0.49402828636685847,0.5187636394813971,0.2779864951144418,0.24623100957486593
C14-2019-0016,0,0.4786237353964535,0.45394494729673235,0.41060664926758983,0.4474569560376495,0.4508714655402548
C14-2017-0089,0,0.45729973345662794,0.3898697440912352,0.4269212125826373,0.4077511809127861,0.3394829564865998
C14-2013-0027,1,0.5634807797383757,0.5630760660853715,0.5069567524670973,0.4758019443493867,0.6058226748645638
C14-2013-0032,0,0.419643353737308,0.43662034015833273,0.49777454559586465,0.2832892449647137,0.21560939370147592
C14-2016-0135,0,0.42900433419469125,0.45222173429932006,0.41711673223582346,0.5047637056394529,0.4149753530910123
C14-2014-0173,0,0.5613282436846726,0.608728972622508,0.4373180892630965,0.4672027315800199,0.5335518525742972
C14-2015-0032,0,0.5232432604148927,0.5897264316201334,0.43598093648481784,0.4488549985773498,0.5434215642800034
C14-2018-0109,0,0.4755974283740163,0.4545987644880456,0.5231810481980065,0.28776889746975487,0.2238219909494268
C14-2016-0050,0,0.4951547175659997,0.34581016404169196,0.4051651208852199,0.4573789580845928,0.2782123843960264
C14-2015-0060,0,0.5139316259536205,0.5312666270660557,0.5121669896606622,0.48301972308591334,0.4627448449453903
C14-2019-0082,0,0.43638430027115405,0.3698108530179877,0.4163318722449504,0.40929564506167504,0.33006575034821156
C14-2011-0107,0,0.5155460283979533,0.5234402693331914,0.406837913161554,0.3868707560448517,0.45321355269974617
C14-2014-0070,0,0.5676471436379092,0.6362101496535045,0.5473851176265371,0.5892068287887147,0.5695478503149274
NPA-2014-0022.01,0,0.5894656407001223,0.6134401259665326,0.42897276463553136,0.4248139303899349,0.49869111255985177
C14-2012-0106,0,0.5156324513964672,0.5723201111535892,0.43001971576979847,0.379568786181243,0.5309320959793854
C14-2019-0135,0,0.512488319438324,0.4814479556009475,0.47013200342252237,0.495340498353697,0.39108696840062074
C14-2017-0100,0,0.5032737203309436,0.41584041739953603,0.39185563175652094,0.43233516327703875,0.40526550721805493
C14H-2012-0001,0,0.30970046000018164,0.346657262810456,0.4438301041048093,0.482263944579874,0.3611313503284312
C14-2014-0082,0,0.5017669030382927,0.5125229964543467,0.5272612649623208,0.2934084198282376,0.26239301352228855
C14-2016-0095,0,0.43578202358248147,0.5441245311247086,0.4739459786351164,0.6003741059187755,0.4506989282461268
C14-2012-0080,0,0.4316789948545539,0.46822256637308063,0.37409994387684975,0.371234127777689,0.4639901006068111
C14-99-0132,0,0.5199660184831056,0.5998280059959099,0.3982933317660952,0.4112361560861307,0.5445877853358249
C14-2014-0025,0,0.5018188014143875,0.5125263914871245,0.5272933498308323,0.2934110419372376,0.26240823457873574
C14-2012-0082,0,0.43211412666794763,0.46823944153016295,0.37432258361534426,0.3713519741762931,0.4644003471466437
C14-2014-0051,0,0.5273284132593647,0.5004538105648164,0.4223352897374133,0.421810457518778,0.4848468955362508
