CASE_NUMBER,neighbor_tcad_id
C14-2012-0052,0226070119
C14-2012-0052,0226070113
C14-2012-0052,0226070522
C14-2012-0052,0226070116
C14-2012-0052,0226070106
C14-2012-0052,0226070114
C14-2012-0052,0226070115
C14-2012-0097,0229030336
C14-2012-0097,0229030735
C14-2012-0097,0229030706
C14-2012-0097,0229030705
C14-2012-0097,0229030702
C14-2012-0097,0229030311
C14-2012-0097,0229030423
C14-2012-0097,0229030424
C14-2012-0097,0229030732
C14-2012-0097,0229030801
C14-2012-0097,0229030731
C14-2012-0097,0229030339
C14-2012-0097,0229030707
C14-2012-0097,0229030331
C14-2012-0097,0229030913
C14-2012-0100,0302030941
C14-2012-0100,0303020413
C14-2012-0100,0302030951
C14-2012-0100,0304040209
C14-2012-0100,0302030927
C14-2012-0100,0302031401
C14-2012-0109,0103061126
C14-2012-0109,0103060347
C14-2012-0109,0103060303
C14-2012-0109,0103060325
C14-2012-0109,0103060309
C14-2012-0109,0103061016
C14-2012-0109,0103061112
C14-2012-0109,0103060349
C14-2012-0109,0103060114
C14-2012-0109,0103060351
C14-2012-0109,0103061119
C14-2012-0109,0103060335
C14-2012-0109,0103061129
C14-2012-0109,0103060115
C14-2012-0109,0103060345
C14-2012-0109,0103060338
C14-2012-0109,0103061128
C14-2012-0109,0103061114
C14-2012-0109,0103060346
C14-2012-0109,0103061015
C14-2012-0109,0103060352
C14-2012-0109,0103060336
C14-2012-0109,0103061106
C14-2012-0109,0103061130
C14-2012-0109,0103061118
C14-2012-0109,0103061001
C14-2012-0109,0103061115
C14-2012-0109,0103060310
C14-2012-0109,0103060117
C14-2012-0109,0103061117
C14-2012-0109,0103061116
C14-2012-0109,0103061127
C14-2012-0109,0103060348
C14-2012-0109,0103061002
C14-2012-0109,0103061017
C14-2012-0109,0103060350
C14-2012-0109,0103061501
C14-2012-0109,0103061701
C14-2012-0109,0310080501
C14-2012-0109,0310080114
C14-2012-0109,0310080401
C14-2012-0109,0310080211
C14-2012-0109,0310080504
C14-2012-0109,0310080503
C14-2012-0116,0303000732
C14-2012-0116,0303000924
C14-2012-0116,0405000326
C14-2012-0116,0303000740
C14-2012-0116,0303000745
C14-2012-0116,0303000950
C14-2012-0116,0303001101
C14-2012-0130,0206011702
C14-2012-0130,0206011604
C14-2012-0130,0206011820
C14-2012-0130,0206010812
C14-2012-0130,0206011708
C14-2012-0130,0206011603
C14-2012-0130,0206010701
C14-2012-0130,0206011709
C14-2012-0130,0206011701
C14-2012-0130,0206011712
C14-2012-0130,0206011711
C14-2012-0130,0206011317
C14-2012-0130,0206011602
C14-2012-0130,0206011102
C14-2012-0130,0206011203
C14-2012-0130,0206011205
C14-2012-0130,0206010601
C14-2012-0130,0206012201
C14-2013-0031,0406090248
C14-2013-0031,0406100215
C14-2013-0031,0406090250
C14-2013-0031,0406100255
C14-2013-0031,0406090242
C14-2013-0031,0406090251
C14-2013-0031,0406090244
C14-2013-0031,0406090252
C14-2013-0031,0406090243
C14-2013-0031,0406090247
C14-2013-0031,0406100254
C14-2013-0031,0406090603
C14-2013-0031,0406090211
C14-2013-0031,0406090249
C14-2013-0031,0406090254
C14-2013-0031,0406090245
C14-2013-0031,0406100216
C14-2013-0060,0426050104
C14-2013-0060,0426050107
C14-2013-0060,0426050337
C14-2013-0060,0426050244
C14-2013-0060,0426050243
C14-2013-0060,0426050320
C14-2013-0060,0426050105
C14-2013-0060,0426050339
C14-2013-0060,0426050210
C14-2013-0060,0426031102
C14-2013-0060,0426031111
C14-2013-0060,0426050304
C14-2013-0060,0426050334
C14-2013-0060,0426030714
C14-2013-0060,0426050208
C14-2013-0060,0426031101
C14-2013-0060,0426050302
C14-2013-0060,0426050103
C14-2013-0060,0426050402
C14-2013-0060,0426050401
C14-2013-0060,0426050209
C14-2013-0060,0426050303
C14-2013-0060,0426050206
C14-2013-0060,0426050404
C14-2013-0060,0426050336
C14-2013-0060,0426050338
C14-2013-0060,0426050108
C14-2013-0060,0426050207
C14-2013-0060,0426050301
C14-2013-0060,0426050335
C14-2013-0060,0426050340
C14-2013-0060,0426050341
C14-2013-0060,0426050403
C14-2013-0095,0170130420
C14-2013-0095,0170130422
C14-2013-0095,0170130404
C14-2013-0095,0170130923
C14-2013-0095,0170130901
C14-2013-0095,0170130903
C14-2013-0126,0112000314
C14-2013-0126,0112000315
C14-2013-0126,0211010304
C14-2013-0126,0211010729
C14-2013-0126,0211010720
C14-2013-0126,0210000322
C14-2013-0126,0210000404
C14-2013-0126,0112000312
C14-2013-0126,0112000306
C14-2013-0126,0211010308
C14-2013-0126,0211011001
C14-2013-0126,0211010110
C14-2013-0126,0212011321
C14-2013-0126,0210000401
C14-2013-0126,0210000303
C14-2013-0126,0210020503
C14-2013-0126,0112000307
C14-2013-0126,0112000305
C14-2013-0126,0211010723
C14-2013-0126,0211010722
C14-2013-0126,0211010901
C14-2013-0126,0210000323
C14-2013-0126,0210000402
C14-2013-0126,0211010721
C14-2013-0126,0211011247
C14-2013-0126,0112000309
C14-2013-0126,0211010305
C14-2013-0126,0211010903
C14-2013-0126,0112000313
