Geographic_Layer,Architecture,Anchor_Year,Evaluation_Year,OOS_Offset,MdAPE
Macro,XGB_Depth10,2021,2022,+2 Yr,0.4934
Macro,CAT_Depth6,2021,2021,+2 Yr,1.4389
Macro,CAT_Depth6,2021,2022,+2 Yr,1.0373
Macro,CAT_Depth10,2021,2021,+2 Yr,0.798
Macro,CAT_Depth10,2021,2022,+2 Yr,1.3123
Macro,LGBM_Depth6,2022,2022,+2 Yr,0.4744
Macro,LGBM_Depth10,2022,2022,+2 Yr,0.2245
Macro,XGB_Depth6,2022,2022,+2 Yr,0.4731
Macro,XGB_Depth10,2022,2022,+2 Yr,0.5192
Macro,CAT_Depth6,2022,2022,+2 Yr,0.3906
Macro,CAT_Depth10,2022,2022,+2 Yr,0.3613
Macro,LGBM_Depth6,2018,2018,+3 Yr,0.5702
Macro,LGBM_Depth6,2018,2019,+3 Yr,0.6501
Macro,LGBM_Depth6,2018,2020,+3 Yr,0.9669
Macro,LGBM_Depth6,2018,2021,+3 Yr,0.879
Macro,LGBM_Depth10,2018,2018,+3 Yr,0.5879
Macro,LGBM_Depth10,2018,2019,+3 Yr,0.4483
Macro,LGBM_Depth10,2018,2020,+3 Yr,1.0162
Macro,LGBM_Depth10,2018,2021,+3 Yr,0.5676
Macro,XGB_Depth6,2018,2018,+3 Yr,0.6847
Macro,XGB_Depth6,2018,2019,+3 Yr,0.2901
Macro,XGB_Depth6,2018,2020,+3 Yr,0.774
Macro,XGB_Depth6,2018,2021,+3 Yr,1.0467
Macro,XGB_Depth10,2018,2018,+3 Yr,0.706
Macro,XGB_Depth10,2018,2019,+3 Yr,0.1698
Macro,XGB_Depth10,2018,2020,+3 Yr,0.8155
Macro,XGB_Depth10,2018,2021,+3 Yr,0.6036
Macro,CAT_Depth6,2018,2018,+3 Yr,0.4807
Macro,CAT_Depth6,2018,2019,+3 Yr,0.6847
Macro,CAT_Depth6,2018,2020,+3 Yr,0.9586
Macro,CAT_Depth6,2018,2021,+3 Yr,0.8076
Macro,CAT_Depth10,2018,2018,+3 Yr,0.4525
Macro,CAT_Depth10,2018,2019,+3 Yr,0.5431
Macro,CAT_Depth10,2018,2020,+3 Yr,0.5828
Macro,CAT_Depth10,2018,2021,+3 Yr,0.5844
Macro,LGBM_Depth6,2019,2019,+3 Yr,0.6358
Macro,LGBM_Depth6,2019,2020,+3 Yr,0.6146
Macro,LGBM_Depth6,2019,2021,+3 Yr,0.644
Macro,LGBM_Depth10,2019,2019,+3 Yr,0.4585
Macro,LGBM_Depth10,2019,2020,+3 Yr,0.645
Macro,LGBM_Depth10,2019,2021,+3 Yr,0.5281
Macro,XGB_Depth6,2019,2019,+3 Yr,0.2128
Macro,XGB_Depth6,2019,2020,+3 Yr,0.4082
Macro,XGB_Depth6,2019,2021,+3 Yr,0.3432
Macro,XGB_Depth10,2019,2019,+3 Yr,0.3046
Macro,XGB_Depth10,2019,2020,+3 Yr,0.4668
Macro,XGB_Depth10,2019,2021,+3 Yr,0.4292
Macro,CAT_Depth6,2019,2019,+3 Yr,0.8815
Macro,CAT_Depth6,2019,2020,+3 Yr,0.729
Macro,CAT_Depth6,2019,2021,+3 Yr,1.2225
Macro,CAT_Depth10,2019,2019,+3 Yr,0.7149
Macro,CAT_Depth10,2019,2020,+3 Yr,0.5599
Macro,CAT_Depth10,2019,2021,+3 Yr,0.368
Macro,LGBM_Depth6,2020,2020,+3 Yr,0.4512
Macro,LGBM_Depth6,2020,2021,+3 Yr,1.1493
Macro,LGBM_Depth10,2020,2020,+3 Yr,0.4938
Macro,LGBM_Depth10,2020,2021,+3 Yr,0.6307
Macro,XGB_Depth6,2020,2020,+3 Yr,0.8432
Macro,XGB_Depth6,2020,2021,+3 Yr,0.3479
Macro,XGB_Depth10,2020,2020,+3 Yr,0.9429
Macro,XGB_Depth10,2020,2021,+3 Yr,0.1404
Macro,CAT_Depth6,2020,2020,+3 Yr,0.5036
Macro,CAT_Depth6,2020,2021,+3 Yr,1.0652
Macro,CAT_Depth10,2020,2020,+3 Yr,0.4102
Macro,CAT_Depth10,2020,2021,+3 Yr,0.6035
Macro,LGBM_Depth6,2021,2021,+3 Yr,0.4286
Macro,LGBM_Depth10,2021,2021,+3 Yr,0.2057
Macro,XGB_Depth6,2021,2021,+3 Yr,0.3963
Macro,XGB_Depth10,2021,2021,+3 Yr,0.3941
