Seed,Anchor,Offset,Architecture,Topology,Score
999,2020,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2020,6,CatBoost YetiRank Depth10,Base LTR,0.0
999,2020,6,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2021,1,CatBoost YetiRank Depth6,Base LTR,0.3167169849006102
999,2021,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.30649246869673075
999,2021,2,CatBoost YetiRank Depth6,Base LTR,0.5518723962453407
999,2021,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.5518723962453407
999,2021,3,CatBoost YetiRank Depth6,Base LTR,0.8192757378404147
999,2021,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9953687156174393
999,2021,4,CatBoost YetiRank Depth6,Base LTR,0.0
999,2021,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2021,5,CatBoost YetiRank Depth6,Base LTR,0.0
999,2021,5,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2021,1,CatBoost YetiRank Depth10,Base LTR,0.30582211584195584
999,2021,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.31166842577507914
999,2021,2,CatBoost YetiRank Depth10,Base LTR,0.7369334463278353
999,2021,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5518723962453407
999,2021,3,CatBoost YetiRank Depth10,Base LTR,0.85252869103631
999,2021,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9027038541813628
999,2021,4,CatBoost YetiRank Depth10,Base LTR,0.0
999,2021,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2021,5,CatBoost YetiRank Depth10,Base LTR,0.0
999,2021,5,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2022,1,CatBoost YetiRank Depth6,Base LTR,0.6276952050185699
999,2022,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.619514120401764
999,2022,2,CatBoost YetiRank Depth6,Base LTR,0.8694509009854676
999,2022,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.8694509009854676
999,2022,3,CatBoost YetiRank Depth6,Base LTR,0.0
999,2022,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2022,4,CatBoost YetiRank Depth6,Base LTR,0.0
999,2022,4,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2022,1,CatBoost YetiRank Depth10,Base LTR,0.7199627666257056
999,2022,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.5282398660127837
999,2022,2,CatBoost YetiRank Depth10,Base LTR,0.9027038541813628
999,2022,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.9953687156174393
999,2022,3,CatBoost YetiRank Depth10,Base LTR,0.0
999,2022,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2022,4,CatBoost YetiRank Depth10,Base LTR,0.0
999,2022,4,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2023,1,CatBoost YetiRank Depth6,Base LTR,0.9953687156174393
999,2023,1,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.9999999999999999
999,2023,2,CatBoost YetiRank Depth6,Base LTR,0.0
999,2023,2,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2023,3,CatBoost YetiRank Depth6,Base LTR,0.0
999,2023,3,CatBoost YetiRank Depth6,Meta_Recursive LTR,0.0
999,2023,1,CatBoost YetiRank Depth10,Base LTR,0.8033781408874238
999,2023,1,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.8033781408874238
999,2023,2,CatBoost YetiRank Depth10,Base LTR,0.0
999,2023,2,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
999,2023,3,CatBoost YetiRank Depth10,Base LTR,0.0
999,2023,3,CatBoost YetiRank Depth10,Meta_Recursive LTR,0.0
