parcel_id,year,lr_score,diff_score,ensemble_score,lr_cal,diff_cal,ens_cal,actual,lat,lon
0419150609,2021,0.98654,0.99623,0.99139,0.913758,0.999999,0.999943,1,30.195457,-97.797042
0419150610,2021,0.98653,0.89647,0.9415,0.913725,0.996344,0.996734,1,30.195535,-97.797276
0419151001,2021,0.98653,0.77859,0.88256,0.913725,0.963269,0.984523,1,30.195808,-97.798069
0419151002,2021,0.98654,0.89667,0.9416,0.913758,0.996364,0.996746,1,30.195946,-97.797935
0419151023,2021,0.98654,0.996,0.99127,0.913758,0.999999,0.999941,1,30.195926,-97.797501
0419151024,2021,0.98654,0.99605,0.99129,0.913758,0.999999,0.999942,1,30.195805,-97.797579
0419151025,2021,0.98653,0.99587,0.9912,0.913725,0.999999,0.99994,1,30.195601,-97.797665
0422130401,2021,0.98657,0.99587,0.99122,0.913856,0.999999,0.999941,1,30.192905,-97.79787
0422130402,2021,0.98662,0.98604,0.98633,0.914019,0.999984,0.999851,1,30.193181,-97.798388
0422130403,2021,0.9866,0.99603,0.99132,0.913954,0.999999,0.999942,1,30.193754,-97.798915
0422130409,2021,0.98663,0.99622,0.99143,0.914052,0.999999,0.999944,1,30.19442,-97.799176
0423150301,2021,0.96181,0.84777,0.90479,0.854863,0.988582,0.990398,1,30.191918,-97.797282
0423150805,2021,0.0,0.10532,0.05266,0.000142,0.003842,0.002599,1,30.185093,-97.800712
0424000410,2021,0.0,0.7974,0.3987,0.000142,0.972331,0.30027,1,30.180147,-97.79476
0424000411,2021,0.0,0.70471,0.35236,0.000142,0.905483,0.222133,1,30.180003,-97.794927
0424000412,2021,0.0,0.79723,0.39862,0.000142,0.972257,0.300126,1,30.179833,-97.794921
0424000413,2021,0.0,0.89416,0.44708,0.000142,0.996103,0.39234,1,30.17968,-97.794866
0424000414,2021,0.0,0.59813,0.29906,0.000142,0.737519,0.147567,1,30.179554,-97.794602
0424000415,2021,0.0,0.89642,0.44821,0.000142,0.996339,0.394585,1,30.179674,-97.794451
0424000416,2021,0.0,0.80046,0.40023,0.000142,0.973632,0.303036,1,30.179926,-97.794422
0424000417,2021,0.0,0.89676,0.44838,0.000142,0.996374,0.394923,1,30.179964,-97.794147
0424000418,2021,0.0,0.8762,0.4381,0.000142,0.993842,0.374622,1,30.179663,-97.794156
0424000419,2021,0.0,0.79778,0.39889,0.000142,0.972495,0.300613,1,30.179464,-97.794022
0424000420,2021,0.0,0.50058,0.25029,0.000142,0.501507,0.094588,1,30.179301,-97.79423
0424000422,2021,0.0,0.8425,0.42125,0.000142,0.987339,0.342082,1,30.180066,-97.795306
0424000423,2021,0.0,0.61147,0.30574,0.000142,0.764609,0.155958,1,30.180254,-97.795129
0424000734,2021,0.0,0.00089,0.00044,0.000142,0.0,0.0,1,30.180235,-97.796983
0424000735,2021,0.0,0.69488,0.34744,0.000142,0.894554,0.214533,1,30.179662,-97.796157
0424000736,2021,0.0,0.95557,0.47779,0.000142,0.999655,0.454367,1,30.179726,-97.79638
0424130301,2021,0.0,0.69956,0.34978,0.000142,0.899864,0.21813,1,30.186074,-97.800181
0424130375,2021,0.0,0.79097,0.39548,0.000142,0.969445,0.294484,1,30.186348,-97.799772
0424130376,2021,0.0,0.59718,0.29859,0.000142,0.735527,0.146987,1,30.186014,-97.799816
0424130377,2021,0.0,0.89284,0.44642,0.000142,0.995961,0.39103,1,30.186077,-97.799558
0424130378,2021,0.0,0.92251,0.46125,0.000142,0.998398,0.420728,1,30.186055,-97.799286
0424130601,2021,0.0,0.60225,0.30112,0.000142,0.746062,0.150125,1,30.18601,-97.800996
0424130701,2021,0.0,0.83262,0.41631,0.000142,0.984749,0.33274,1,30.186031,-97.799037
0424170601,2021,0.0,0.59859,0.2993,0.000142,0.738481,0.147864,1,30.185644,-97.799485
0424170602,2021,0.0,0.86344,0.43172,0.000142,0.991763,0.362186,1,30.185495,-97.799566
0424170603,2021,0.0,0.59803,0.29901,0.000142,0.73731,0.147505,1,30.185364,-97.799564
0424170604,2021,0.0,0.63627,0.31813,0.000142,0.810421,0.172253,1,30.185241,-97.79958
0424170605,2021,0.0,0.62951,0.31476,0.000142,0.798535,0.167728,1,30.185106,-97.799577
0424170606,2021,0.0,0.8966,0.4483,0.000142,0.996357,0.394764,1,30.184988,-97.799577
0424170607,2021,0.0,0.79659,0.3983,0.000142,0.971979,0.299549,1,30.184867,-97.799641
0424170608,2021,0.0,0.65826,0.32913,0.000142,0.845929,0.187511,1,30.184741,-97.799609
0424170609,2021,0.0,0.89243,0.44621,0.000142,0.995916,0.390613,1,30.184618,-97.799625
0424170610,2021,0.0,0.69787,0.34893,0.000142,0.897969,0.21682,1,30.184495,-97.79966
0424170611,2021,0.0,0.68981,0.34491,0.000142,0.888577,0.210681,1,30.184373,-97.799657
0424170612,2021,0.0,0.63362,0.31681,0.000142,0.805816,0.170472,1,30.184248,-97.799693
0424170621,2021,0.0,0.8231,0.41155,0.000142,0.981911,0.323831,1,30.184331,-97.800121
0424170622,2021,0.0,0.79839,0.3992,0.000142,0.972757,0.301173,1,30.184548,-97.800044
