pid,year,lr,diff,diff_calibrated,ens_calibrated,actual
0406441212,2021,0.01403,0.33867,0.001577,0.007804,0.0
0215220307,2021,0.01403,0.30992,0.001577,0.007804,0.0
0436281216,2021,0.01396,0.17562,0.000499,0.007229,0.0
0453070504,2021,0.16882,0.09422,0.000499,0.084659,0.0
0229080608,2021,0.01403,0.20175,0.000499,0.007264,0.0
0129340405,2021,0.06929,0.4988,0.011204,0.040247,0.0
0116060523,2021,0.01466,0.20085,0.000499,0.007579,0.0
0326430101,2021,0.01397,0.21622,0.000499,0.007234,0.0
0228020222,2021,0.01428,0.24423,0.000499,0.007389,0.0
0418100233,2021,0.29382,0.20096,0.000816,0.147318,0.0
0430090802,2021,0.01371,0.00086,0.0,0.006855,0.0
0432340612,2021,0.01405,0.19983,0.000499,0.007274,0.0
0141051110,2021,0.01413,0.29786,0.000499,0.007314,0.0
0159370501,2021,0.06799,0.00077,0.0,0.033995,0.0
0403010216,2021,0.17947,0.36989,0.001577,0.090524,0.0
0339110123,2021,0.00484,0.10034,0.000816,0.002828,0.0
0135050468,2021,0.01413,0.10054,0.000816,0.007473,0.0
0237160311,2021,0.01401,0.20002,0.000499,0.007254,0.0
0113061201,2021,0.06478,0.29923,0.000499,0.032639,0.0
