"CASE_NUMBER","CASE_NAME","SUB_TYPE","APPLICATION_START_DATE","DETAILED_STATUS","COUNCIL_DISTRICT","PROPOSED_ZONING","EXISTING_ZONING","TCAD_ID","DESCRIPTION_OF_WORK","LATITUDE","LONGITUDE"
"NPA-2020-0015.02.SH","2011 & 2015 EM Franklin","Amended Neighborhood Plan","07/29/2020","Closed","","","","0213170105","The applicant is proposing an amendment to a previously approved neighborhood plan.","30.28582325","-97.69693557"
"C12M-2020-0137","Lower Camelot WSC Annexation into Travis County Water Control and Improvement District No 10","Municipal Utility District (MUD)","11/17/2020","Closed","","N/A","","0117280121","The applicant is requesting Annexation into Water Control District #10 for 115.39 acres.","30.29703183","-97.84571420"
"C814-98-0001","FORUM PUD, THE","Planned Unit Development (PUD)","03/04/1998","Closed","","PUD","SF-2","","","",""
"C814-01-0038.01","PARMER / WALNUT CREEK PUD","Planned Unit Development (PUD)","03/31/2004","Closed","","PUD","PUD","","","",""
"C12M-2021-0176","Collins MUD","Municipal Utility District (MUD)","10/02/2021","Awaiting Update","","PUD, planned unit development","","0334180306","The Applicant is proposing to create a new Municipal Utility District on 675 acres generally located at East William Cannon Drive and US Highway 183, and in the City's 2-mile Extraterritorial Jurisdic","30.16083871","-97.69625571"
"C12M-2011-0005","Southeast Travis County Municipal Utility District #3","Municipal Utility District (MUD)","03/30/2011","Approved","","N/A","","","The applicant is proposing to create a MUD.","",""
"C14-93-0090.01","7700 Parmer Lane","Planned Development Agreement (PDA)","04/29/2011","Closed","","PDA","PDA","","The applicant is proposing a Planned Development Agreement amendment.","",""
"C814-00-2063ETJ","WILDHORSE RANCH SMART GROWTH PUD","Planned Unit Development (PUD)","03/28/2000","Closed","","PUD","N/A","","","",""
"C814-91-0001.05","LITTLE TEXAS PUD","Planned Unit Development (PUD)","08/06/2007","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant proposes to revise the Little Texas PUD.","",""
"C814-92-0006.02","Seton Medical Center Planned Unit Development Amendment No. 2","Planned Unit Development (PUD)","04/26/2022","Closed","","PUD-NP, planned unit development - neighborhood plan, to modify site development regulations","PUD-NP, planned unit development - neighborhood plan","","The Applicant is proposing to amend an approved PUD to allow for building expansion on 12.21 acres.","",""
"C814-01-0114.02","COMANCHE CANYON RANCH, ETJ P.U.D. (AMENDMENT #2)","Planned Unit Development (PUD)","09/16/2009","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant is proposing to amend the existing Comanche Canyon Ranch PUD.","",""
"C814-89-0006.04","CANYON RIDGE PHASE B, Lots 2-4","Planned Unit Development (PUD)","10/02/2008","Closed","","PUD - PLANNED UNIT DEVELOPMENT","PUD - PLANNED UNIT DEVELOPMENT","","The applicant proposes to amend the existing PUD ordinance to allow Personal Services use, specifically a drop-off dry cleaners, to be permitted.  The PUD amendment also proposes to prohibit drive-in","",""
"C814-90-0003.21","Harris Branch PUD Amendment 21","Planned Unit Development (PUD)","09/17/2021","Closed","","PUD, planned unit development, to remove the 3 stories limit to properties zoned LO, LR, MF-2, and MF-3 as shown in Exhibit C of Ordinance No. 901213-H","PUD, planned unit development","","The Applicant is proposing to amend a previously recorded PUD to remove the 3 stories limit to properties zoned LO, LR, MF-2, and MF-3 as shown in Exhibit C of Ordinance No. 901213-H.","",""
"C814-00-2063.07","Wildhorse Ranch PUD","Planned Unit Development (PUD)","12/21/2021","Closed","","PUD, planned unit development, to reallocate the base zoning for Parcels E-3 and E-2 to allow commercial property to front the arterial (Parmer Ln) without allocating the proposed land density","PUD, planned unit development","","The Applicant is proposing an amendment to an approved PUD, to reallocate the base zoning for Parcels E-3 and E-2 to allow commercial property to front the arterial (Parmer Ln) without allocating the","",""
