CASE_NUMBER,Meeting_Date,vote_yes,vote_no,nay_members,matched
C14-2013-0114,2013-12-12T00:00:00.000,,,,False
C814-2017-0001,2018-03-22T00:00:00.000,,,,False
C14-2018-0109,2019-05-09T00:00:00.000,,,,False
C14-2012-0114,2013-01-31T00:00:00.000,,,,False
C14-2016-0024,2016-06-16T00:00:00.000,,,,False
NPA-2017-0016.06,2018-04-26T00:00:00.000,8.0,1.0,[L,True
C14-2012-0053,2012-10-11T00:00:00.000,,,,False
NPA-2017-0026.01,2017-10-19T00:00:00.000,,,,False
NPA-2011-0002.01,2013-08-29T00:00:00.000,,,,False
C14-2017-0086,2017-12-14T00:00:00.000,,,,False
C14-2011-0167,2012-04-05T00:00:00.000,,,,False
C14-2013-0034,2013-06-20T00:00:00.000,,,,False
C14-2017-0022,2018-08-30T00:00:00.000,,,,False
C14-2019-0097,2019-10-03T00:00:00.000,,,,False
NPA-2016-0005.01,2017-02-16T00:00:00.000,,,,False
C14-2015-0047,2016-02-11T00:00:00.000,,,,False
C14-2011-0132,2012-09-27T00:00:00.000,,,,False
C14-2012-0081,2013-04-25T00:00:00.000,,,,False
C14-2015-0141,2016-02-11T00:00:00.000,,,,False
NPA-2017-0013.01,2017-06-08T00:00:00.000,,,,False
C14-2018-0018,2018-05-10T00:00:00.000,,,,False
C14-2011-0009,2011-05-12T00:00:00.000,,,,False
C14-99-0132,2013-08-08T00:00:00.000,,,,False
C14-2018-0019,2018-05-10T00:00:00.000,,,,False
C14-2014-0178,2015-04-02T00:00:00.000,11.0,0.0,,True
NPA-2016-0013.01,2017-02-09T00:00:00.000,,,,False
NPA-2010-0005.03,2011-05-12T00:00:00.000,,,,False
NPA-2012-0013.02,2012-09-27T00:00:00.000,,,,False
C14-2016-0105,2017-03-02T00:00:00.000,,,,False
C14H-2010-0025,2011-01-13T00:00:00.000,,,,False
C14-2013-0146,2014-01-30T00:00:00.000,,,,False
C14-2019-0151,2020-03-26T00:00:00.000,,,,False
C14-2018-0021,2018-05-10T00:00:00.000,,,,False
C14-2014-0059,2014-06-26T00:00:00.000,,,,False
C14-2016-0086,2016-11-10T00:00:00.000,,,,False
C14-2018-0079,2018-11-15T00:00:00.000,,,,False
C14-2019-0020,2019-06-06T00:00:00.000,,,,False
C14-2015-0062,2019-06-06T00:00:00.000,,,,False
NPA-2017-0002.01,2018-02-01T00:00:00.000,,,,False
C14-2016-0094,2018-08-23T00:00:00.000,,,,False
C14-2014-0150,2015-05-14T00:00:00.000,11.0,0.0,,True
NPA-2016-0002.01,2017-06-08T00:00:00.000,,,,False
C14-2019-0135,2019-12-05T00:00:00.000,,,,False
C14-2018-0065,2019-02-21T00:00:00.000,,,,False
C14-2017-0027,2017-08-31T00:00:00.000,,,,False
NPA-2018-0023.01,2018-11-15T00:00:00.000,11.0,0.0,,True
C14-2012-0002,2012-05-24T00:00:00.000,,,,False
C14-2019-0094,2019-10-17T00:00:00.000,,,,False
C14-2010-0205,2011-03-24T00:00:00.000,,,,False
C14-2016-0071,2017-02-09T00:00:00.000,,,,False
C14-2015-0141,2016-03-24T00:00:00.000,,,,False
C14-2017-0098,2018-02-01T00:00:00.000,,,,False
C14-2014-0017,2014-08-28T00:00:00.000,7.0,0.0,,True
C14-2016-0082,2016-11-10T00:00:00.000,,,,False
C14-2014-0136,2015-05-14T00:00:00.000,11.0,0.0,,True
NPA-2016-0016.01,2017-01-26T00:00:00.000,,,,False
C14-2010-0035,2010-08-26T00:00:00.000,,,,False
C14-2015-0155,2016-02-11T00:00:00.000,,,,False
C14-2010-0034,2010-08-26T00:00:00.000,,,,False
C14-2008-0159,2012-12-13T00:00:00.000,,,,False
C14-2019-0031,2019-08-08T00:00:00.000,,,,False
C14-2016-0096,2017-10-12T00:00:00.000,,,,False
C14-2014-0148,2014-11-06T00:00:00.000,7.0,0.0,,True
C14-2019-0155,2020-03-12T00:00:00.000,8.0,1.0,Flannigan,True
C14-2016-0079,2018-05-10T00:00:00.000,,,,False
C14-2013-0084,2013-10-17T00:00:00.000,7.0,0.0,,True
C14H-2010-0025,2011-12-15T00:00:00.000,,,,False
C14-2010-0122,2010-08-26T00:00:00.000,,,,False
C14H-2019-0148,2019-12-05T00:00:00.000,,,,False
C14-2013-0053,2013-08-08T00:00:00.000,7.0,0.0,,True
C14-2016-0047,2016-08-11T00:00:00.000,,,,False
C14H-2017-0038,2017-08-03T00:00:00.000,7.0,2.0,"; Casar, Flannigan ; Renteria was off the dais; Troxclair was absent",True
C14-2012-0106,2012-12-06T00:00:00.000,,,,False
NPA-2014-0017.01,2014-09-25T00:00:00.000,,,,False
C14-2018-0118,2019-04-25T00:00:00.000,,,,False
NPA-2013-0011.02,2014-02-13T00:00:00.000,,,,False
C14-2015-0123,2015-11-12T00:00:00.000,,,,False
C14-2014-0112,2014-11-20T00:00:00.000,6.0,0.0,,True
NPA-2016-0021.01,2017-05-04T00:00:00.000,,,,False
NPA-2012-0019.03,2012-11-08T00:00:00.000,,,,False
C14-2011-0130.SH,2011-12-15T00:00:00.000,,,,False
NPA-2018-0005.01,2019-10-17T00:00:00.000,,,,False
C14-2013-0031,2013-08-08T00:00:00.000,,,,False
C14-2013-0044,2013-09-26T00:00:00.000,,,,False
C14-2017-0110,2017-10-12T00:00:00.000,,,,False
C14-2013-0006,2013-11-21T00:00:00.000,,,,False
C14-2012-0106,2012-11-08T00:00:00.000,,,,False
C814-2012-0163,2016-05-12T00:00:00.000,8.0,0.0,,True
C14H-2010-0009,2010-10-14T00:00:00.000,,,,False
C14-2017-0004,2017-06-08T00:00:00.000,,,,False
C14-2017-0084,2018-03-22T00:00:00.000,,,,False
C14-2010-0190,2010-12-16T00:00:00.000,,,,False
C14-2016-0018,2016-05-12T00:00:00.000,,,,False
C14-2012-0100,2013-03-28T00:00:00.000,,,,False
C14-2013-0095,2013-11-21T00:00:00.000,,,,False
C14-2018-0055,2018-06-14T00:00:00.000,,,,False
C14H-2010-0014,2010-10-14T00:00:00.000,,,,False
C14-2015-0104,2016-03-24T00:00:00.000,,,,False
C14H-2018-0032,2018-08-30T00:00:00.000,,,,False
NPA-2016-0025.01,2016-12-08T00:00:00.000,10.0,0.0,,True
C14-2009-0168,2010-03-25T00:00:00.000,6.0,0.0,,True
C14-2016-0077,2016-12-08T00:00:00.000,,,,False
C14-2016-0113,2017-01-26T00:00:00.000,,,,False
C14-2019-0096,2019-10-03T00:00:00.000,,,,False
NPA-2018-0026.01,2018-08-09T00:00:00.000,10.0,0.0,,True
C14-2014-0111,2015-02-26T00:00:00.000,,,,False
C14-2018-0080,2019-02-07T00:00:00.000,10.0,0.0,,True
C14-2017-0033,2017-08-31T00:00:00.000,9.0,2.0,"Flannigan, Troxclair",True
C14-2014-0034,2014-11-06T00:00:00.000,,,,False
C14-2018-0113,2018-12-13T00:00:00.000,,,,False
C14-2016-0050,2017-02-09T00:00:00.000,,,,False
C14-2012-0018,2012-09-27T00:00:00.000,,,,False
C14H-2017-0039,2017-08-03T00:00:00.000,8.0,1.0,; Flannigan ; Renteria was off the dais; Troxclair was absent,True
C14-2011-0121,2011-12-08T00:00:00.000,,,,False
C14-2012-0158,2013-03-21T00:00:00.000,,,,False
C14-2015-0062,2018-08-23T00:00:00.000,,,,False
C14-2018-0124,2019-10-03T00:00:00.000,9.0,2.0,"Council members Alter, Pool",True
C14-2017-0094,2018-03-22T00:00:00.000,,,,False
C14-2017-0022,2018-02-01T00:00:00.000,,,,False
C14-2016-0050,2016-11-10T00:00:00.000,,,,False
C14-2018-0081,2018-11-01T00:00:00.000,,,,False
NPA-2012-0018.02,2012-11-08T00:00:00.000,,,,False
C14-2011-0049,2011-10-20T00:00:00.000,7.0,0.0,,True
NPA-2019-0020.04,2020-01-23T00:00:00.000,11.0,0.0,,True
C14-2016-0046,2016-09-22T00:00:00.000,11.0,0.0,,True
C14-2013-0095,2013-10-17T00:00:00.000,,,,False
NPA-2012-0021.02,2012-11-08T00:00:00.000,,,,False
C14-2017-0123,2018-04-26T00:00:00.000,,,,False
C14-2019-0123,2020-02-06T00:00:00.000,,,,False
C14-2012-0129,2013-03-07T00:00:00.000,,,,False
NPA-2013-0025.01,2013-08-22T00:00:00.000,6.0,1.0,Morrison voted Nay,True
C14-2013-0147,2014-04-17T00:00:00.000,,,,False
C14-2010-0097,2010-08-26T00:00:00.000,,,,False
C14-2015-0104,2016-04-14T00:00:00.000,,,,False
C14H-2010-0004,2010-08-19T00:00:00.000,5.0,2.0,"(Cole, Spelman off-dais)",True
C14-2016-0090,2017-08-03T00:00:00.000,,,,False
C14-2013-0126,2014-01-23T00:00:00.000,,,,False
C14-2012-0123,2013-01-17T00:00:00.000,,,,False
NPA-2018-0016.04,2019-08-08T00:00:00.000,,,,False
C14-2016-0008,2016-04-14T00:00:00.000,10.0,0.0,,True
C14-2016-0131,2017-03-23T00:00:00.000,,,,False
C14-2017-0051,2018-04-12T00:00:00.000,,,,False
C14-2019-0003,2020-02-06T00:00:00.000,,,,False
C14-2011-0087,2012-01-12T00:00:00.000,,,,False
C14-2016-0135,2017-12-14T00:00:00.000,,,,False
C14-2019-0126,2019-11-14T00:00:00.000,,,,False
C14-2014-0157,2015-04-23T00:00:00.000,7.0,4.0,"Tovo, Houston, Kitchen, Pool",True
C14-2019-0139,2020-01-23T00:00:00.000,,,,False
NPA-2012-0018.02,2012-08-02T00:00:00.000,,,,False
C14-2019-0008,2019-06-06T00:00:00.000,,,,False
C14-2012-0145,2013-03-07T00:00:00.000,,,,False
C814-2014-0120,2017-03-23T00:00:00.000,,,,False
C14H-2015-0007,2015-10-08T00:00:00.000,,,,False
C14-2014-0041,2015-02-12T00:00:00.000,,,,False
C14-2012-0070,2013-01-31T00:00:00.000,,,,False
C14-2018-0150,2019-09-19T00:00:00.000,,,,False
C14-2014-0070,2014-08-07T00:00:00.000,,,,False
C14-2010-0103,2010-11-18T00:00:00.000,,,,False
C14-2012-0083,2013-03-28T00:00:00.000,,,,False
C14-2015-0160,2016-11-10T00:00:00.000,11.0,0.0,,True
C14-2014-0099,2014-11-06T00:00:00.000,,,,False
C14-2016-0039,2016-08-11T00:00:00.000,11.0,0.0,,True
C14-2012-0101,2013-01-17T00:00:00.000,,,,False
C14-2015-0104,2016-09-22T00:00:00.000,,,,False
C14-2016-0003,2016-06-16T00:00:00.000,,,,False
C14-2011-0161,2012-02-09T00:00:00.000,,,,False
C14-2010-0110,2010-11-18T00:00:00.000,,,,False
C14-2015-0060,2015-08-13T00:00:00.000,,,,False
C14-2013-0152,2014-02-27T00:00:00.000,,,,False
C14-2016-0008,2016-03-24T00:00:00.000,10.0,0.0,,True
C14-2016-0136,2018-05-24T00:00:00.000,,,,False
C14-2011-0060,2011-08-25T00:00:00.000,,,,False
NPA-2015-0023.01,2016-04-07T00:00:00.000,,,,False
C14-2014-0053,2015-04-16T00:00:00.000,,,,False
C14-2015-0013,2015-04-16T00:00:00.000,,,,False
C14-2014-0193,2015-12-17T00:00:00.000,10.0,0.0,,True
C14-2014-0193,2015-12-10T00:00:00.000,10.0,0.0,,True
C14-2014-0003,2014-05-01T00:00:00.000,,,,False
C14-2017-0104,2017-10-05T00:00:00.000,,,,False
C14-2017-0138,2018-11-01T00:00:00.000,,,,False
NPA-2014-0022.01,2014-09-25T00:00:00.000,,,,False
C14-86-103,2015-10-08T00:00:00.000,,,,False
C14-2018-0140,2019-06-06T00:00:00.000,,,,False
C14-2017-0130,2018-05-24T00:00:00.000,,,,False
C14-2014-0027,2014-12-11T00:00:00.000,,,,False
NPA-2011-0025.03,2013-03-21T00:00:00.000,,,,False
C14-2015-0086,2016-02-11T00:00:00.000,,,,False
NPA-2012-0028.01,2012-10-18T00:00:00.000,,,,False
C14-2018-0048,2018-08-30T00:00:00.000,,,,False
NPA-2018-0005.01,2019-10-03T00:00:00.000,,,,False
C14-2011-0061,2011-10-20T00:00:00.000,,,,False
C14H-2012-0001,2012-03-08T00:00:00.000,,,,False
C14-2013-0113,2014-06-12T00:00:00.000,7.0,0.0,,True
C14-2017-0152,2018-03-01T00:00:00.000,,,,False
C14H-2014-0001,2014-05-01T00:00:00.000,,,,False
C14-2014-0189,2015-01-29T00:00:00.000,,,,False
C14-2011-0050,2011-11-10T00:00:00.000,,,,False
C14-2010-0166,2011-02-10T00:00:00.000,,,,False
C14-2014-0077,2014-08-07T00:00:00.000,7.0,0.0,,True
C14-2018-0002,2018-08-23T00:00:00.000,,,,False
C14-2018-0075,2018-11-15T00:00:00.000,,,,False
C14-2014-0186,2015-11-12T00:00:00.000,,,,False
C14-2017-0138,2018-06-28T00:00:00.000,,,,False
C14-2013-0020,2013-05-23T00:00:00.000,7.0,0.0,,True
C14-2012-0064,2012-10-18T00:00:00.000,,,,False
NPA-2016-0021.01,2017-03-23T00:00:00.000,,,,False
NPA-2017-0016.02,2019-03-28T00:00:00.000,10.0,1.0,with Renteria,True
C14-2015-0064,2015-08-13T00:00:00.000,,,,False
C14-2011-0098,2011-12-08T00:00:00.000,,,,False
C14-2014-0038,2014-05-15T00:00:00.000,,,,False
C14-2010-0136,2010-12-16T00:00:00.000,,,,False
C14-2008-0155,2010-07-29T00:00:00.000,7.0,0.0,,True
C14-2019-0098,2020-02-06T00:00:00.000,,,,False
C14-2011-0069,2011-09-22T00:00:00.000,,,,False
C14-2010-0076,2010-07-29T00:00:00.000,,,,False
C14-2017-0067,2018-03-22T00:00:00.000,,,,False
C14-2015-0136,2015-12-10T00:00:00.000,,,,False
