CASE_NUMBER,Meeting_Date,Agenda_Item,Body,Description,Source,Item_URL
C14-2009-0162,2010-05-27T00:00:00.000,69,Austin City Council,C14-2009-0162 - AAA Limousine - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 11902 North Interstate Highway-35 Serv,akgy-tbxy,http://austintexas.gov/department/city-council/2010/20100527-REG.htm#069
NPA-2015-0005.03,2015-12-10T00:00:00.000,51,Austin City Council,"NPA-2015-0005.03 � 2407-2409 Montopolis Drive � District 3 � Conduct a public hearing and approve an ordinance amending Ordinance No. 20010927-05, the Montopolis Neighborhood Plan, an element of the I",akgy-tbxy,http://austintexas.gov/department/city-council/2015/20151210-REG.htm#051
C14-2015-0085,2015-10-08T00:00:00.000,29,Austin City Council,C14-2015-0085 � Northland II Property LLC � District 7 � Conduct a public hearing and approve an ordinance amending City Code Chapter 25-2 by rezoning property locally known as 2123 Northland Drive (S,akgy-tbxy,http://austintexas.gov/department/city-council/2015/20151008-REG.htm#029
C14-2013-0023,2013-10-03T00:00:00.000,76,Austin City Council,C14-2013-0023 - 6.11 Acre Tract - Westgate and Davis Lane - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 2901 D,akgy-tbxy,http://austintexas.gov/department/city-council/2013/20131003-REG.htm#076
C14-2019-0053,2019-06-06T00:00:00.000,73,Austin City Council,C14-2019-0053 - 2106 Payne - Conduct a public hearing and approve an ordinance amending City Code Title 25 by rezoning property locally known as 2106 Payne Avenue (Shoal Creek Watershed). Applicant Re,akgy-tbxy,http://austintexas.gov/department/city-council/2019/20190606-REG.htm#073
C14-2010-0165,2010-12-09T00:00:00.000,64,Austin City Council,C14-2010-0165 - Milestone Manchaca Rezoning - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 7337 Manchaca Road (,akgy-tbxy,http://austintexas.gov/department/city-council/2010/20101209-REG.htm#064
C14-06-0160,2007-05-03T00:00:00.000,46,Austin City Council,"C14-06-0160 - Calavan - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 1701, 1703 and 1705 East Martin Luther King Bo",akgy-tbxy,http://austintexas.gov/department/city-council/2007/20070503-REG.htm#046
C14-2011-0160,2012-05-24T00:00:00.000,121,Austin City Council,C14-2011-0160 - Capital City Salvage (L.K.Q.) - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 7600-7900 South Co,akgy-tbxy,http://austintexas.gov/department/city-council/2012/20120524-REG.htm#121
C14-04-0179,2005-02-17T00:00:00.000,Z001,Austin City Council,C14-04-0179 - Big 4 - Conduct a public hearing and approve an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 8602 Cullen Lane (Onion Creek Watershed) fro,akgy-tbxy,http://austintexas.gov/department/city-council/2005/20050217-REG.htm#Z001
C14-2012-0028,2012-11-08T00:00:00.000,71,Austin City Council,"C14-2012-0028 - 3rd & Colorado - Approve second/third readings of an ordinance amending Chapter 25-2 of the Austin City Code by rezoning property locally known as 301 and 311 Colorado Street, and 114 ",akgy-tbxy,http://austintexas.gov/department/city-council/2012/20121108-REG.htm#071
