case_number,nlp_svd_0,nlp_svd_1,nlp_svd_2,nlp_svd_3,nlp_svd_4,nlp_svd_5,nlp_svd_6,nlp_svd_7,nlp_svd_8,nlp_svd_9,nlp_svd_10,nlp_svd_11,nlp_svd_12,nlp_svd_13,nlp_svd_14,nlp_svd_15,nlp_svd_16,nlp_svd_17,nlp_svd_18,nlp_svd_19
C14-2013-0023,0.3934285027675766,-0.15505421879746478,0.27232864400304524,-0.09877439532735047,-0.04530887880828704,-0.12751133545645246,-0.11076262430048128,-0.04076288363239331,0.037718120447510106,-0.1380820166365324,0.04003546900173688,-0.019806594728728023,0.22722935776990275,0.24465929469162448,0.22765778481951027,0.11127808380287205,0.028279107962270556,0.008369698168408012,-0.02442432154031692,0.10594373201732854
C14-2011-0165,0.5857980372150098,-0.1325098098538784,0.18424476043966495,0.2957392248869875,-0.198027086846885,-0.15031019597890302,-0.13304453773601707,0.13391145295225126,-0.10328737814031241,0.14795756483094882,0.12672516573300266,0.09200486158662921,-0.03539619935257853,0.12619556068249385,0.07111748151197633,-0.016425957617917087,-0.07583772682338573,0.030700594777142355,-0.08743058980424488,-0.1024626055806137
C14-2012-0115,0.6259900957072492,-0.01763811144592666,-0.1671756141447543,0.204790346028054,-0.0804629328760926,-0.15473825342878836,0.081196096240592,-0.00013319384311214258,0.0053696817760727315,-0.054023217072042856,-0.020932163467674104,-0.05751656558186456,-0.05905085858295425,0.0021121072112407517,0.09565962530704193,-0.0013122720194033164,-0.02749177750843074,0.029581442039220397,-0.052454243109588475,0.10576062976533589
C14-2017-0137,0.5228224266823026,0.012554605049839282,-0.09535279463820749,-0.16754848236668446,0.1801428130545787,-0.013344884819556039,-0.0035713394206554304,0.04799460598697147,0.18964590581545035,-0.05105567672318232,-0.04291291575753949,0.3408772789696074,-0.027103435073486302,0.019741192447353093,0.017012475083911578,0.03762827916380182,-0.08433122894010345,0.10309623129736006,-0.03481514895959214,-0.21040241169144894
C14-2012-0007,0.39108729706293344,-0.1340613124854551,0.42236053724721123,-0.1537714352440698,0.06447513773153837,-0.14408291768845724,-0.1398151800953615,-0.12676787062988495,-0.009482719481132811,-0.139326234604863,0.012369647965330199,-0.03951006007404774,-0.15858418606661778,-0.06325389606017912,-0.17233022853011892,-0.01830656140317588,0.05620638448073306,-0.029924472293447933,-0.0004162478289905175,-0.04492948821351429
C14-2016-0106,0.5838423112336685,0.1062836234027148,-0.3880331862525631,0.029791210674863518,-0.012855863657747948,0.11692977019123194,-0.1272187146432654,-0.03503511848693827,-0.07379720776162652,-0.2649149751639826,-0.07828715098802623,0.23142844274388502,-0.10208996104730739,0.01945008596038993,-0.05981690853327525,0.061877882543108546,-0.2183463191574531,-0.043005661064785775,-0.030018460646178743,0.1294610811074661
C14-2011-0131,0.5018993931300569,-0.07390593862915787,-0.12329784319274537,0.22823819978917775,-0.10401293688105298,-0.15309487688652504,0.31634361447826315,-0.019194636753627464,-0.16666578010767116,-0.032196546922333175,0.1734557762663051,-0.34109838706787937,-0.06777316661335249,-0.040492790919591674,0.10632003652169295,-0.10466489042752303,0.08691654030788815,0.023917828304589245,0.08186027322951432,-0.02079187147411387
C14-2019-0082,0.365344823284858,-0.040803114019235566,-0.0773523380540856,0.05753520412963074,-0.22343517927228318,0.08478797112075384,0.1432675816673522,-0.2786882859370539,-0.18066767883270948,0.1470764634261797,-0.25275552930904505,0.08129107199102907,0.1832422541513765,0.15642771522003748,-0.2880940472233217,0.17857703259195432,-0.017845236146335146,0.09090603353246968,0.07308289498060709,-0.054450106345051104
C14-2010-0090,0.20646195368427428,-0.054996162009076886,0.11593996266182731,0.0586888690482543,0.15689084991562277,0.2715240267847184,0.26619511213856434,-0.06219219267235255,-0.0334370337061161,0.03403630656587176,0.604703070454649,0.17875127495375379,0.08645546075759461,0.00759838353609162,-0.14543239584175374,0.08424949186389563,-0.002487287040668656,0.18775287461793438,-0.3045208788490772,0.15130102329695794
C14-2013-0062,0.30177671905946923,-0.05470491615392947,0.24371110668204074,-0.09518277880560644,0.034109002437727055,-0.08556305167007558,0.03671965946585276,-0.10157018072405063,-0.04285822320651616,-0.054272140890683156,0.09864752496943181,-0.011377371009154362,-0.11699854989826826,-0.04391128044345203,-0.02234920954598114,-0.05126395432493779,-0.038903296056469285,0.009383117126939473,0.059841668314630204,-0.10511940214226208
