standardized_tcad_id,CASE_NUMBER,SUB_TYPE,APPLICATION_START_DATE,env_id,LATITUDE,LONGITUDE,zoning_delta_intensity
0203000221,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
0203000222,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
0203000201,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
0203000217,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
0202000208,C14-2023-0015,Planned Development Agreement (PDA),01/13/2023,Regime_1,30.25983722,-97.74615131,1.0
0305060327,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305060374,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305030701,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0307050303,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031007,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0307050302,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031009,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031008,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031011,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031012,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031014,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031015,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031107,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031126,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305060376,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0305031010,NPA-2021-0021.01.SH,Amended Neighborhood Plan,01/14/2021,Regime_1,30.23385396,-97.73483025,1.0
0412050607,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050609,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
0412050608,NPA-2019-0020.01,Amended Neighborhood Plan,01/15/2019,Regime_0,30.21469515,-97.76509742,1.0
